TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
K702,0,A,7.02,I,,,,,,,,,,,
K742,0,A,7.42,I,,,,,,,,,,,
K782,0,A,7.82,I,,,,,,,,,,,
K822,0,A,8.22,I,,,,,,,,,,,
K862,0,A,8.62,I,,,,,,,,,,,
K882,0,A,8.82,I,,,,,,,,,,,
K902,0,A,9.02,I,,,,,,,,,,,
K922,0,A,9.22,I,0.67,,14/10/2022,1,335.0,,,,,,
K962,0,A,9.62,A,0.32,-0.03,27/10/2022,15,6998.0,0.405,0.5901,0.3918,-0.0149,-0.0466,0.9511
K100,0,A,9.82,A,0.12,-0.8,10/11/2022,1,120.0,0.454,0.3622,0.3638,-0.0146,-0.1216,0.8516
K10,0,A,10.02,O,0.18,-0.561,14/11/2022,1,36.0,,,,,,
K102,0,E,10.27,O,0.04,-0.5,11/11/2022,2,21.0,0.411,0.1239,0.4103,-0.0134,-0.3348,0.2485
K105,0,A,10.52,O,0.04,0.333,14/11/2022,1,4.0,0.505,0.0902,0.2657,-0.0129,-0.3226,0.1971
K110,0,A,11.02,O,0.04,-0.5,11/11/2022,1,4.0,0.357,0.2014,0.3833,-0.0114,-0.285,0.5769
K115,0,A,11.52,O,0.03,0.0,03/11/2022,4,21.0,0.397,0.087,0.152,-0.005,-0.1675,0.4155
K120,0,A,12.02,O,0.01,0.0,03/11/2022,3,11.0,,,,,,
K125,0,A,12.52,O,,,,,,,,,,,
K130,0,A,13.02,O,,,,,,,,,,,
K135,0,A,13.52,O,,,,,,,,,,,
K140,0,A,14.02,O,,,,,,,,,,,
K145,0,A,14.52,O,,,,,,,,,,,
K150,0,A,15.02,O,,,,,,,,,,,
K155,0,A,15.52,O,,,,,,,,,,,
K160,0,A,16.02,O,0.02,,11/11/2022,1,6.0,,,,,,
