TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
H400,0,A,4.0,I,,,,,,,,,,,
H450,0,A,4.5,I,,,,,,,,,,,
H470,0,A,4.7,I,,,,,,,,,,,
H510,0,E,5.1,I,,,,,,,,,,,
H550,0,E,5.5,A,0.26,0.182,01/08/2022,5,1311.0,0.535,0.4997,0.565,-0.0107,-0.0412,0.5266
H600,0,A,6.0,O,0.12,0.2,28/07/2022,4,3856.0,0.517,0.2482,0.4629,-0.0079,-0.0658,0.4186
H650,0,E,6.5,O,0.11,-0.083,21/07/2022,2,319.0,0.516,0.1993,0.3416,-0.0063,-0.0573,0.4431
H700,0,A,7.0,O,0.02,-0.333,25/07/2022,1,40.0,0.533,0.139,0.244,-0.005,-0.25,0.377
H750,0,E,7.5,O,0.05,-0.545,18/07/2022,1,250.0,,,,,,
H800,0,A,8.0,O,0.07,0.4,13/07/2022,1,70.0,,,,,,
H850,0,E,8.5,O,,,,,,,,,,,
H950,0,E,9.5,O,,,,,,,,,,,
H100,0,A,10.0,O,,,,,,,,,,,
H105,0,A,10.5,O,,,,,,,,,,,
H112,0,E,11.25,O,,,,,,,,,,,
H122,0,E,12.25,O,,,,,,,,,,,
