TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M102,0,E,10.28,O,0.04,-0.6667,29/12/2022,1,80.0,0.49297,-0.1462,0.1199,-0.0071,-0.1772,0.8891
M107,0,E,10.78,O,0.05,-0.375,29/12/2022,1,10.0,0.47937,-0.2136,0.1531,-0.0084,-0.1672,1.1545
M112,0,E,11.28,O,0.1,-0.0909,28/12/2022,1,20.0,0.41359,-0.2436,0.2182,-0.009,-0.09,1.0883
M117,0,E,11.78,O,0.15,0.0714,04/01/2023,2,226.0,0.43969,-0.2499,0.2555,-0.0134,-0.0893,0.8984
M122,1,E,12.28,O,0.22,-0.3889,04/01/2023,2,280.0,0.43062,-0.2999,0.2899,-0.0151,-0.0689,0.968
M127,1,E,12.78,A,0.37,-0.4308,04/01/2023,7,8029.0,0.40891,-0.4392,0.3447,-0.0155,-0.0419,1.1031
M132,1,E,13.28,I,0.66,-0.4,04/01/2023,2,1980.0,0.40594,-0.6102,0.3378,-0.0135,-0.0205,1.0732
M137,0,E,13.78,I,1.9,0.7117,01/12/2022,2,104500.0,0.4307,-0.6041,0.1731,-0.0053,-0.0028,1.9914
M140,0,E,14.03,I,,,,,,,,,,,
M145,0,E,14.28,I,1.16,-0.4051,29/12/2022,2,4640.0,0.43867,-0.524,0.157,-0.0064,-0.0055,2.302
M147,0,E,14.78,I,2.0,0.2579,02/01/2023,1,400.0,0.43656,-0.5987,0.1533,-0.0053,-0.0027,2.2336
M152,0,E,15.28,I,,,,,,0.44062,-0.6637,0.1434,-0.0042,,2.1076
M157,0,E,15.78,I,,,,,,,,,,,
M162,0,E,16.28,I,,,,,,,,,,,
M167,0,E,16.78,I,,,,,,,,,,,
M172,0,E,17.28,I,,,,,,,,,,,
M177,0,E,17.78,I,,,,,,,,,,,
M182,0,E,18.28,I,,,,,,,,,,,
M187,0,E,18.78,I,,,,,,,,,,,
M192,0,E,19.28,I,,,,,,,,,,,
M197,0,E,19.78,I,,,,,,,,,,,
M202,0,E,20.28,I,,,,,,,,,,,
M210,0,E,21.03,I,,,,,,,,,,,
M215,0,E,21.28,I,,,,,,,,,,,
M222,0,E,22.28,I,,,,,,,,,,,
