TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A473,0,E,4.7,I,,,,,,,,,,,
A573,0,E,5.7,I,,,,,,,,,,,
A673,0,E,6.7,I,,,,,,,,,,,
A773,0,E,7.7,I,,,,,,,,,,,
A823,0,A,8.2,I,,,,,,,,,,,
A873,0,E,8.7,I,0.35,0.061,20/12/2022,5,680.0,0.296,0.491,0.5229,-0.0087,-0.025,1.029
A900,0,A,9.0,A,0.35,-0.103,28/12/2022,2,2625.0,0.267,0.6223,0.6218,-0.0102,-0.029,0.8705
A990,0,E,9.7,O,0.1,0.25,28/12/2022,3,448.0,0.271,0.2495,0.507,-0.0074,-0.0741,0.7326
A102,0,E,10.05,O,0.05,-0.722,07/12/2022,1,35.0,,,,,,
A107,0,E,10.55,O,,,,,,,,,,,
A117,0,E,11.55,O,0.02,-0.714,21/11/2022,1,4.0,0.466,0.0681,0.0814,-0.0027,-0.1349,0.4561
A127,0,E,12.55,O,,,,,,,,,,,
A137,0,E,13.55,O,,,,,,,,,,,
