TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A449,0,E,44.66,I,42.84,0.059,26/12/2022,1,42840.0,,,,,,
A464,0,E,46.16,I,43.4,0.046,02/01/2023,1,8680.0,,,,,,
A469,0,E,46.66,I,43.13,0.157,29/12/2022,1,4313.0,,,,,,
A471,0,A,46.91,I,39.0,,07/12/2022,1,19500.0,,,,,,
A474,0,E,47.16,I,38.21,0.452,19/12/2022,2,11462.0,,,,,,
A476,0,A,47.41,I,,,,,,,,,,,
A479,0,E,47.66,I,38.0,-0.044,22/12/2022,1,3800.0,,,,,,
A481,0,A,47.91,I,,,,,,,,,,,
A484,0,E,48.16,I,,,,,,,,,,,
A486,0,A,48.41,I,,,,,,,,,,,
A489,0,E,48.66,I,,,,,,,,,,,
A491,0,A,48.91,I,,,,,,,,,,,
A494,0,E,49.16,I,,,,,,,,,,,
A496,0,A,49.41,I,,,,,,,,,,,
A499,0,A,49.66,I,,,,,,,,,,,
A537,0,A,50.16,I,35.58,0.887,22/12/2022,3,71286.0,,,,,,
A509,0,E,50.66,I,39.15,0.075,29/12/2022,1,3915.0,,,,,,
A547,0,A,51.16,I,,,,,,,,,,,
A519,0,E,51.66,I,,,,,,,,,,,
A557,0,A,52.16,I,35.55,0.154,15/12/2022,1,35550.0,,,,,,
A529,0,E,52.66,I,35.66,0.018,04/01/2023,1,3566.0,,,,,,
A567,0,A,53.16,I,35.11,0.68,15/12/2022,8,87784.0,,,,,,
A539,0,E,53.66,I,34.4,,15/12/2022,1,34400.0,,,,,,
A577,0,A,54.16,I,33.95,,15/12/2022,1,6790.0,,,,,,
A549,0,E,54.66,I,,,,,,,,,,,
A587,0,A,55.16,I,,,,,,,,,,,
A559,0,E,55.66,I,33.0,-0.033,04/01/2023,2,33000.0,,,,,,
A597,0,A,56.16,I,32.2,,06/12/2022,3,16100.0,,,,,,
A569,0,E,56.66,I,33.1,0.109,04/01/2023,1,33100.0,,,,,,
A607,0,A,57.16,I,28.5,0.19,16/12/2022,2,11400.0,,,,,,
A579,0,E,57.66,I,,,,,,,,,,,
A800,0,A,58.16,I,28.68,-0.063,21/12/2022,1,28680.0,,,,,,
A622,0,E,58.66,I,31.2,0.0,02/01/2023,1,3120.0,,,,,,
A594,0,A,59.16,I,29.5,-0.039,04/01/2023,11,135700.0,,,,,,
A632,0,E,59.66,I,,,,,,,,,,,
A820,0,A,60.16,I,30.0,0.009,03/01/2023,1,42000.0,,,,,,
A647,0,A,61.16,I,25.89,-0.034,16/12/2022,1,90615.0,,,,,,
A652,0,E,61.66,I,25.45,0.011,13/12/2022,1,96710.0,,,,,,
A840,0,A,62.16,I,23.55,-0.105,16/12/2022,1,23550.0,,,,,,
A662,0,E,62.66,I,24.75,0.004,14/12/2022,1,180675.0,,,,,,
A667,0,A,63.16,I,22.75,-0.098,16/12/2022,2,4555.0,,,,,,
A672,0,E,63.66,I,26.12,0.133,03/01/2023,3,7837.0,,,,,,
A860,0,A,64.16,I,25.65,0.023,03/01/2023,1,51300.0,,,,,,
A682,0,E,64.66,I,25.03,0.005,04/01/2023,3,7432.0,,,,,,
A687,0,A,65.16,I,20.7,-0.103,16/12/2022,2,56120.0,,,,,,
A692,0,E,65.66,I,23.85,0.201,28/12/2022,1,2385.0,,,,,,
A88,0,A,66.16,I,23.41,0.131,02/01/2023,1,11705.0,,,,,,
A702,0,E,66.66,I,22.2,-0.032,04/01/2023,3,6740.0,,,,,,
A707,0,A,67.16,I,19.74,0.01,23/12/2022,1,1974.0,,,,,,
A712,0,E,67.66,I,22.58,0.023,03/01/2023,1,36128.0,,,,,,
