TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A449,0,E,44.66,I,49.1,0.146,10/01/2023,2,147295.0,,,,,,
A464,0,E,46.16,I,47.65,-0.011,12/01/2023,1,9530.0,,,,,,
A469,0,E,46.66,I,47.5,0.101,12/01/2023,1,166250.0,,,,,,
A471,0,A,46.91,I,46.8,0.2,10/01/2023,1,23400.0,,,,,,
A474,0,E,47.16,I,38.21,0.452,19/12/2022,2,11462.0,,,,,,
A476,0,A,47.41,I,,,,,,,,,,,
A479,0,E,47.66,I,38.0,-0.044,22/12/2022,1,3800.0,,,,,,
A481,0,A,47.91,I,,,,,,,,,,,
A484,0,E,48.16,I,,,,,,,,,,,
A486,0,A,48.41,I,,,,,,,,,,,
A489,0,E,48.66,I,,,,,,,,,,,
A491,0,A,48.91,I,,,,,,,,,,,
A494,0,E,49.16,I,,,,,,,,,,,
A496,0,A,49.41,I,,,,,,,,,,,
A499,0,A,49.66,I,,,,,,,,,,,
A537,0,A,50.16,I,35.58,0.887,22/12/2022,3,71286.0,,,,,,
A509,0,E,50.66,I,43.34,0.107,12/01/2023,1,4334.0,,,,,,
A547,0,A,51.16,I,,,,,,,,,,,
A519,0,E,51.66,I,,,,,,,,,,,
A557,0,A,52.16,I,35.55,0.154,15/12/2022,1,35550.0,,,,,,
A529,0,E,52.66,I,35.66,0.018,04/01/2023,1,3566.0,,,,,,
A567,0,A,53.16,I,35.11,0.68,15/12/2022,8,87784.0,,,,,,
A539,0,E,53.66,I,40.2,0.031,12/01/2023,1,4020.0,,,,,,
A577,0,A,54.16,I,33.95,,15/12/2022,1,6790.0,,,,,,
A549,0,E,54.66,I,,,,,,,,,,,
A587,0,A,55.16,I,,,,,,,,,,,
A559,0,E,55.66,I,37.2,-0.024,11/01/2023,3,79840.0,,,,,,
A597,0,A,56.16,I,32.2,,06/12/2022,3,16100.0,,,,,,
A569,0,E,56.66,I,33.1,0.109,04/01/2023,1,33100.0,,,,,,
A607,0,A,57.16,I,28.5,0.19,16/12/2022,2,11400.0,,,,,,
A579,0,E,57.66,I,,,,,,,,,,,
A800,0,A,58.16,I,28.68,-0.063,21/12/2022,1,28680.0,,,,,,
A622,0,E,58.66,I,31.2,0.0,02/01/2023,1,3120.0,,,,,,
A594,0,A,59.16,I,29.5,-0.039,04/01/2023,11,135700.0,,,,,,
A632,0,E,59.66,I,,,,,,,,,,,
A820,0,A,60.16,I,33.77,0.126,10/01/2023,3,50556.0,,,,,,
A647,0,A,61.16,I,25.89,-0.034,16/12/2022,1,90615.0,,,,,,
A652,0,E,61.66,I,25.45,0.011,13/12/2022,1,96710.0,,,,,,
A840,0,A,62.16,I,29.7,0.261,06/01/2023,1,8910.0,,,,,,
A662,0,E,62.66,I,31.69,0.049,11/01/2023,1,31690.0,,,,,,
A667,0,A,63.16,I,28.81,0.266,06/01/2023,2,11534.0,,,,,,
A672,0,E,63.66,I,30.15,0.034,10/01/2023,1,3015.0,,,,,,
A860,0,A,64.16,I,25.65,0.023,03/01/2023,1,51300.0,,,,,,
A682,0,E,64.66,I,29.51,0.057,10/01/2023,8,25986.0,,,,,,
A687,0,A,65.16,I,29.16,0.409,12/01/2023,1,2916.0,,,,,,
