TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A650,0,E,6.5,I,,,,,,,,,,,
A750,0,E,7.5,I,2.12,-0.266,16/12/2022,11,4718.0,,,,,,
A850,0,E,8.5,I,,,,,,,,,,,
A900,0,A,9.0,I,1.23,,19/12/2022,1,369.0,0.609,0.7166,0.1895,-0.0163,-0.0133,0.9932
A920,0,A,9.2,I,,,,,,0.605,0.6734,0.2033,-0.0169,,1.0568
A940,0,A,9.4,I,,,,,,0.571,0.7831,0.1665,-0.0155,,0.9068
A950,0,E,9.5,I,1.7,0.36,05/01/2023,1,170.0,0.669,0.7491,0.2117,-0.0236,-0.0139,0.7156
A960,0,A,9.6,I,1.7,1.179,20/12/2022,2,1730.0,0.667,0.7262,0.2221,-0.0243,-0.0143,0.7483
A980,0,A,9.8,I,0.96,-0.273,02/01/2023,4,4592.0,0.618,0.885,0.1333,-0.0174,-0.0181,0.4576
A100,0,A,10.0,I,1.13,0.314,05/01/2023,5,28164.0,0.621,0.8506,0.1588,-0.0199,-0.0176,0.548
A105,0,A,10.5,I,1.4,0.147,06/01/2023,5,91165.0,0.61,0.7972,0.1925,-0.0231,-0.0165,0.6788
A110,1,A,11.0,I,1.07,0.244,06/01/2023,21,36797.0,0.557,0.7697,0.2323,-0.0243,-0.0227,0.7143
A115,1,A,11.5,I,0.67,0.136,06/01/2023,12,10192.0,0.562,0.6311,0.2855,-0.0286,-0.0427,0.8867
A117,0,E,11.75,A,0.49,0.441,06/01/2023,13,23994.0,0.548,0.557,0.3066,-0.0287,-0.0586,0.9282
A120,1,A,12.0,A,0.43,0.229,06/01/2023,23,13081.0,0.552,0.4224,0.3065,-0.0275,-0.0639,0.9051
A122,0,E,12.25,O,0.29,0.115,06/01/2023,14,5052.0,0.537,0.3487,0.2975,-0.0251,-0.0864,0.8562
A125,1,A,12.5,O,0.21,0.05,06/01/2023,5,2602.0,0.54,0.28,0.2698,-0.0227,-0.1079,0.7786
A130,1,A,13.0,O,0.12,0.091,06/01/2023,6,6574.0,0.54,0.2064,0.2252,-0.0193,-0.161,0.6689
A132,0,E,13.25,O,0.14,1.0,06/01/2023,2,644.0,0.541,0.1638,0.1945,-0.0167,-0.1192,0.5803
A135,0,A,13.5,O,0.06,2.0,05/01/2023,4,186.0,0.722,0.0816,0.0874,-0.0105,-0.1742,0.3605
A140,0,A,14.0,O,0.03,-0.5,06/01/2023,4,268.0,0.692,0.0908,0.0744,-0.0076,-0.2545,0.5189
A145,0,A,14.5,O,0.02,-0.333,05/01/2023,1,10.0,0.616,0.1128,0.0836,-0.0079,-0.3956,0.7122
A150,0,A,15.0,O,0.03,-0.25,21/12/2022,2,158.0,0.626,0.0906,0.0699,-0.0068,-0.2276,0.6079
A155,0,A,15.5,O,0.06,0.0,09/12/2022,2,1170.0,0.63,0.0684,0.0563,-0.0055,-0.092,0.4908
A160,0,A,16.0,O,0.01,0.0,05/01/2023,1,1.0,0.558,0.07,0.0593,-0.0053,-0.5304,0.5441
A162,0,E,16.25,O,0.04,0.0,19/12/2022,1,400.0,0.577,0.1889,0.0939,-0.0112,-0.2788,1.3501
A165,0,A,16.5,O,0.49,,21/11/2022,1,245.0,0.615,0.2036,0.0904,-0.0123,-0.0252,1.442
A170,0,A,17.0,O,0.02,0.0,05/01/2023,1,6.0,0.677,0.057,0.0425,-0.005,-0.2492,0.4555
A175,0,A,17.5,O,0.02,-0.846,28/12/2022,1,2.0,0.613,0.1313,0.0684,-0.0089,-0.4442,1.0808
A180,0,A,18.0,O,0.02,-0.333,28/12/2022,1,2.0,,,,,,
A185,0,A,18.5,O,0.06,-0.812,29/11/2022,1,12.0,0.592,0.0622,0.0433,-0.0051,-0.0844,0.5852
A190,0,A,19.0,O,0.01,0.0,06/01/2023,9,126.0,1.03,0.0179,0.0179,-0.0056,-0.5557,0.1058
A195,0,A,19.5,O,0.02,,06/01/2023,1,180.0,,,,,,
A200,0,A,20.0,O,0.01,-0.5,06/01/2023,5,474.0,1.192,0.0163,0.0147,-0.0057,-0.572,0.0943
A210,0,A,21.0,O,0.02,0.0,28/12/2022,13,498.0,1.085,0.0151,0.0126,-0.0037,-0.1849,0.1066
A220,0,A,22.0,O,0.22,0.1,09/11/2022,4,83.0,,,,,,
A230,0,A,23.0,O,0.17,,08/11/2022,13,453.0,,,,,,
A240,0,A,24.0,O,0.02,-0.778,02/12/2022,4,68.0,,,,,,
A250,0,A,25.0,O,,,,,,,,,,,
A260,0,A,26.0,O,0.01,,16/12/2022,1,1.0,,,,,,
A270,0,A,27.0,O,,,,,,,,,,,
A280,0,A,28.0,O,0.25,0.25,09/11/2022,1,250.0,0.511,0.5049,0.0375,-0.0141,-0.0564,8.3175
A320,0,A,32.0,O,0.06,-0.75,11/11/2022,8,92.0,,,,,,
A345,0,A,34.5,O,,,,,,,,,,,
A360,0,A,36.0,O,,,,,,,,,,,
A36,0,A,36.5,O,,,,,,,,,,,
A385,0,A,38.5,O,,,,,,,,,,,
A387,0,E,38.75,O,,,,,,,,,,,
A40,0,A,40.0,O,,,,,,,,,,,
A412,0,E,41.25,O,,,,,,,,,,,
A420,0,A,42.0,O,,,,,,,,,,,
A440,0,A,44.0,O,,,,,,,,,,,
A452,0,E,45.25,O,,,,,,,,,,,
A457,0,E,45.75,O,0.01,0.0,04/01/2023,1,273.0,1.835,0.0093,0.0044,-0.0029,-0.2891,0.0776
A565,0,E,56.5,O,,,,,,,,,,,
A570,0,A,57.0,O,,,,,,,,,,,
A575,0,E,57.5,O,,,,,,,,,,,
