TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B147,0,A,14.75,I,,,,,,,,,,,
B128,0,A,15.25,I,,,,,,,,,,,
B157,0,A,15.75,I,,,,,,,,,,,
B162,0,A,16.25,I,3.6,-0.318,01/02/2023,1,360.0,,,,,,
B167,0,A,16.75,I,,,,,,,,,,,
B172,0,A,17.25,I,,,,,,,,,,,
B177,0,A,17.75,I,,,,,,,,,,,
B182,0,A,18.25,I,1.95,-0.133,02/02/2023,2,98625.0,0.46,0.8284,0.1223,-0.0283,-0.0145,1.1508
B187,0,A,18.75,I,1.74,,31/01/2023,1,3480.0,0.407,0.6642,0.2465,-0.0364,-0.0209,1.3245
B192,1,A,19.25,I,0.94,-0.236,03/02/2023,3,2857.0,0.383,0.507,0.288,-0.0357,-0.038,1.442
B197,1,A,19.75,A,0.66,-0.185,03/02/2023,79,355056.0,0.391,0.366,0.2665,-0.0331,-0.0502,1.3587
B210,0,E,20.0,A,0.53,-0.159,03/02/2023,18,30519.0,0.385,0.3045,0.2518,-0.0301,-0.0567,1.2651
B202,1,A,20.25,O,0.43,-0.173,03/02/2023,48,61074.0,0.401,0.2519,0.2204,-0.0282,-0.0655,1.1515
B207,1,A,20.75,O,0.27,-0.182,03/02/2023,26,18218.0,0.419,0.1724,0.1688,-0.0232,-0.0859,0.9217
B209,0,E,21.0,O,0.23,-0.179,03/02/2023,25,40159.0,0.425,0.1445,0.1481,-0.0209,-0.0907,0.8221
B212,1,A,21.25,O,0.18,-0.217,03/02/2023,24,11933.0,0.453,0.1222,0.1241,-0.0196,-0.1088,0.73
B211,0,E,21.5,O,0.15,-0.318,03/02/2023,7,6740.0,0.457,0.105,0.1102,-0.0177,-0.1182,0.6574
B217,0,A,21.75,O,0.13,-0.133,03/02/2023,27,15133.0,0.474,0.0911,0.0957,-0.0165,-0.127,0.5924
B230,0,E,22.0,O,0.12,0.0,03/02/2023,14,2786.0,0.489,0.0832,0.0863,-0.0159,-0.1327,0.555
B222,0,A,22.25,O,0.09,-0.1,03/02/2023,11,11536.0,0.512,0.075,0.0763,-0.0154,-0.1707,0.513
B225,0,E,22.5,O,0.09,-0.25,03/02/2023,2,756.0,0.532,0.0675,0.0678,-0.0147,-0.1629,0.4732
B227,0,A,22.75,O,0.07,-0.125,03/02/2023,24,4204.0,0.556,0.0601,0.0593,-0.0139,-0.1987,0.4307
B229,0,E,23.0,O,0.07,-0.222,03/02/2023,4,2828.0,0.579,0.0581,0.0555,-0.0141,-0.2016,0.4208
B232,0,A,23.25,O,0.07,0.0,03/02/2023,6,693.0,0.565,0.0536,0.0527,-0.0131,-0.1868,0.3992
B216,0,E,23.5,O,0.06,-0.143,03/02/2023,6,672.0,0.618,0.0502,0.0462,-0.0134,-0.2229,0.3748
B237,0,A,23.75,O,0.05,0.0,03/02/2023,5,170.0,0.614,0.0452,0.0425,-0.0123,-0.2457,0.347
B250,0,E,24.0,O,0.05,-0.167,03/02/2023,6,4993.0,0.656,0.0431,0.0385,-0.0125,-0.2499,0.3312
B252,0,A,24.25,O,0.05,0.0,03/02/2023,5,134.0,0.672,0.0377,0.0339,-0.0114,-0.2288,0.2964
B255,0,E,24.5,O,0.05,0.0,03/02/2023,3,99.0,0.684,0.037,0.0326,-0.0115,-0.2306,0.2935
B257,0,A,24.75,O,0.04,-0.333,31/01/2023,4,49.0,0.71,0.0359,0.0307,-0.0116,-0.2908,0.2858
B260,0,E,25.0,O,0.05,0.0,03/02/2023,4,150.0,0.651,0.0407,0.0342,-0.0115,-0.2309,0.3421
B262,0,A,25.25,O,0.05,0.667,03/02/2023,2,14.0,0.738,0.0304,0.0257,-0.0105,-0.21,0.2489
B265,0,E,25.5,O,0.04,1.0,03/02/2023,1,400.0,0.769,0.0294,0.0241,-0.0106,-0.2647,0.2411
B267,0,A,25.75,O,0.02,-0.6,01/02/2023,3,12.0,0.649,0.0346,0.0285,-0.0097,-0.4855,0.3169
B270,0,E,26.0,O,0.04,0.0,03/02/2023,1,200.0,0.811,0.0281,0.022,-0.0107,-0.2686,0.2322
B272,0,A,26.25,O,0.04,0.0,27/01/2023,1,28.0,0.816,0.0279,0.0216,-0.0108,-0.2701,0.2323
B275,0,E,26.5,O,0.03,0.0,01/02/2023,1,144.0,0.83,0.0273,0.0208,-0.0108,-0.3616,0.2294
B266,0,A,26.75,O,0.05,0.0,20/01/2023,7,1365.0,0.851,0.0268,0.02,-0.0109,-0.2188,0.2259
B280,0,E,27.0,O,0.03,0.0,27/01/2023,1,3.0,0.766,0.0273,0.0209,-0.0098,-0.3262,0.2484
B282,0,A,27.25,O,0.03,0.0,25/01/2023,2,60.0,0.796,0.0266,0.0197,-0.0099,-0.3293,0.2416
B285,0,E,27.5,O,0.04,0.0,23/01/2023,1,12.0,0.82,0.026,0.0188,-0.01,-0.2492,0.2367
B287,0,A,27.75,O,0.04,0.0,17/01/2023,9,1408.0,0.886,0.0181,0.0138,-0.0081,-0.2025,0.1609
B290,0,E,28.0,O,0.03,0.0,03/02/2023,3,99.0,0.851,0.0252,0.0176,-0.0101,-0.3362,0.231
B292,0,A,28.25,O,0.01,-0.75,02/02/2023,1,1.0,0.933,0.0174,0.0128,-0.0082,-0.8198,0.155
B286,0,A,28.75,O,0.04,-0.2,12/01/2023,3,336.0,0.966,0.0169,0.0121,-0.0083,-0.2078,0.1518
B300,0,E,29.0,O,0.03,2.0,03/02/2023,5,3089.0,0.984,0.0167,0.0117,-0.0084,-0.2787,0.15
B291,0,A,29.25,O,0.04,1.0,03/02/2023,4,2380.0,0.985,0.0166,0.0115,-0.0084,-0.209,0.1498
B297,0,A,29.75,O,0.02,1.0,03/02/2023,1,2.0,1.02,0.016,0.0108,-0.0084,-0.4197,0.1453
B310,0,E,30.0,O,0.03,-0.25,09/01/2023,5,1363.0,1.04,0.0159,0.0105,-0.0085,-0.2831,0.1443
B302,0,A,30.25,O,0.02,0.0,03/02/2023,6,104.0,1.055,0.0157,0.0103,-0.0085,-0.4256,0.1426
B307,0,A,30.75,O,,,,,,1.075,0.0153,0.0098,-0.0086,,0.1407
B320,0,E,31.0,O,0.03,0.0,02/01/2023,2,68.0,0.995,0.0154,0.0099,-0.0077,-0.2567,0.1517
B312,0,A,31.25,O,,,,,,1.014,0.0151,0.0096,-0.0077,,0.1494
B317,0,A,31.75,O,0.02,,03/02/2023,7,602.0,1.029,0.0148,0.0092,-0.0077,-0.3874,0.1477
B322,0,A,32.25,O,0.02,,03/02/2023,14,6948.0,1.015,0.0116,0.0076,-0.0062,-0.3107,0.1201
B327,0,A,32.75,O,,,,,,,,,,,
B332,0,A,33.25,O,,,,,,,,,,,
B337,0,A,33.75,O,0.02,-0.5,03/02/2023,21,9377.0,1.09,0.0109,0.0066,-0.0063,-0.3157,0.1138
B340,0,E,34.0,O,0.05,-0.375,30/11/2022,1,5.0,0.429,0.0308,0.0155,-0.0031,-0.0625,0.7251
B347,0,A,34.75,O,,,,,,,,,,,
B352,0,A,35.25,O,0.01,-0.833,03/02/2023,9,6270.0,1.166,0.0103,0.0059,-0.0064,-0.6405,0.1081
B342,0,A,36.25,O,,,,,,,,,,,
B345,0,A,36.75,O,,,,,,,,,,,
B370,0,E,37.0,O,,,,,,,,,,,
B375,0,A,37.25,O,0.01,0.0,03/02/2023,3,299.0,,,,,,
B385,0,E,37.5,O,0.04,0.0,19/01/2023,1,20.0,0.533,0.0198,0.0092,-0.0026,-0.0645,0.471
B205,0,A,48.5,O,0.01,,23/12/2022,1,1.0,,,,,,
