TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A165,0,A,16.5,I,,,,,,,,,,,
A170,0,A,17.0,I,,,,,,,,,,,
A175,0,A,17.5,I,,,,,,,,,,,
A180,0,A,18.0,I,,,,,,,,,,,
A185,0,A,18.5,I,,,,,,,,,,,
A190,0,A,19.0,I,,,,,,,,,,,
A195,0,A,19.5,I,,,,,,,,,,,
A200,0,A,20.0,I,,,,,,,,,,,
A205,0,A,20.5,I,,,,,,,,,,,
A210,0,A,21.0,I,2.5,-0.167,05/01/2023,2,410.0,,,,,,
A215,0,A,21.5,I,2.11,,02/01/2023,1,211.0,,,,,,
A220,0,A,22.0,I,2.5,0.543,12/01/2023,1,1000.0,0.477,0.7211,0.146,-0.0433,-0.0173,1.6194
A225,0,A,22.5,I,1.75,0.357,12/01/2023,2,1025.0,0.47,0.6425,0.1649,-0.0458,-0.0262,1.7988
A230,1,A,23.0,I,1.51,0.438,12/01/2023,5,11258.0,0.426,0.6389,0.2668,-0.0603,-0.0399,1.2339
A235,1,A,23.5,A,0.93,0.12,12/01/2023,4,1989.0,0.412,0.501,0.2934,-0.0604,-0.0649,1.3149
A240,1,A,24.0,A,0.65,0.25,12/01/2023,22,9377.0,0.435,0.3266,0.253,-0.0554,-0.0852,1.1805
A245,1,A,24.5,O,0.4,-0.048,12/01/2023,25,14691.0,0.445,0.2215,0.204,-0.046,-0.1151,0.973
A250,1,A,25.0,O,0.26,0.13,12/01/2023,16,3844.0,0.43,0.1532,0.1668,-0.0354,-0.1362,0.779
A255,0,A,25.5,O,0.2,-0.167,12/01/2023,3,600.0,0.446,0.2241,0.1226,-0.0288,-0.1438,1.6391
A260,0,A,26.0,O,0.09,0.125,12/01/2023,1,270.0,0.435,0.0715,0.0765,-0.0161,-0.179,0.5605
A265,0,A,26.5,O,0.05,-0.286,11/01/2023,1,5.0,0.48,0.0658,0.0648,-0.0166,-0.3321,0.5271
A270,0,A,27.0,O,0.08,0.0,12/01/2023,3,32.0,0.475,0.0483,0.0431,-0.0103,-0.1288,0.4921
A275,0,A,27.5,O,0.05,-0.167,03/01/2023,1,5.0,0.455,0.3404,0.0932,-0.0282,-0.5647,3.1682
A280,0,A,28.0,O,0.08,1.0,12/01/2023,3,40.0,0.476,0.037,0.0329,-0.0081,-0.1013,0.4189
A285,0,A,28.5,O,0.05,0.0,12/01/2023,3,15.0,0.472,0.0359,0.0308,-0.0076,-0.1528,0.4273
A290,0,A,29.0,O,0.06,0.2,12/01/2023,1,18.0,0.439,0.0422,0.0329,-0.0073,-0.1223,0.5597
A295,0,A,29.5,O,0.02,0.0,06/01/2023,1,4.0,0.436,0.0248,0.0208,-0.0043,-0.2174,0.3723
A300,0,A,30.0,O,0.02,-0.5,11/01/2023,3,67.0,0.614,0.0191,0.0155,-0.006,-0.3018,0.2271
A305,0,A,30.5,O,0.04,0.0,12/01/2023,1,240.0,0.438,0.4044,0.0825,-0.0308,-0.7712,4.1501
A310,0,A,31.0,O,0.07,0.4,23/12/2022,1,14.0,0.442,0.2866,0.0775,-0.0266,-0.3793,3.3836
A315,0,A,31.5,O,0.25,-0.074,19/12/2022,1,25.0,0.516,0.4666,0.0625,-0.0351,-0.1405,4.9021
A320,0,A,32.0,O,0.02,0.0,29/12/2022,1,4.0,0.536,0.4747,0.058,-0.0363,-1.8131,5.0963
A325,0,A,32.5,O,0.02,-0.6,22/12/2022,5,33.0,0.536,0.4467,0.0576,-0.0357,-1.7841,5.0576
A330,0,A,33.0,O,0.03,-0.4,29/12/2022,1,30.0,0.925,0.0191,0.0122,-0.0112,-0.375,0.1907
A335,0,A,33.5,O,0.06,2.0,20/12/2022,2,12.0,0.455,0.0816,0.0363,-0.0112,-0.1867,1.3783
A340,0,A,34.0,O,0.05,0.0,19/12/2022,2,105.0,0.445,0.0875,0.0377,-0.0117,-0.2334,1.5084
A345,0,A,34.5,O,0.05,0.25,28/12/2022,2,15.0,0.487,0.297,0.0585,-0.0286,-0.573,4.2008
A350,0,A,35.0,O,0.04,-0.556,26/12/2022,1,4.0,,,,,,
A355,0,A,35.5,O,0.08,-0.2,13/12/2022,2,97.0,0.565,0.0493,0.0218,-0.0095,-0.1184,0.8456
A360,0,A,36.0,O,0.43,-0.14,25/11/2022,4,676.0,,,,,,
A365,0,A,36.5,O,0.17,-0.15,02/12/2022,3,52.0,,,,,,
A370,0,A,37.0,O,0.14,-0.125,02/12/2022,2,196.0,,,,,,
A375,0,A,37.5,O,,,,,,,,,,,
A380,0,A,38.0,O,0.18,0.0,30/11/2022,1,72.0,0.48,0.1071,0.0338,-0.0145,-0.0803,2.0971
A385,0,A,38.5,O,,,,,,,,,,,
A390,0,A,39.0,O,,,,,,,,,,,
A395,0,A,39.5,O,0.71,,14/11/2022,6,712000.0,,,,,,
A400,0,A,40.0,O,0.1,-0.167,05/12/2022,4,62.0,0.51,0.0926,0.0274,-0.0133,-0.1326,1.9657
A405,0,A,40.5,O,,,,,,,,,,,
A457,0,E,45.75,O,0.04,-0.5,13/12/2022,1,4.0,0.531,0.0272,0.0101,-0.0051,-0.1284,0.7318
A167,0,A,46.5,O,,,,,,,,,,,
A470,0,A,47.0,O,0.8,,14/10/2022,1,320000.0,,,,,,
A519,0,A,51.99,O,0.27,-0.1,04/11/2022,2,60.0,,,,,,
