TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
I245,0,A,24.46,I,20.55,0.195,31/08/2022,1,2055.0,,,,,,
I329,0,A,32.96,I,10.0,0.25,25/08/2022,11,27629.0,0.291,0.5232,0.1362,-0.0329,-0.0033,4.0031
I384,0,A,38.46,I,,,,,,,,,,,
I389,0,A,38.96,I,,,,,,,,,,,
I394,0,A,39.46,I,,,,,,,,,,,
I399,0,A,39.96,I,2.82,0.253,29/08/2022,1,564.0,0.276,0.5931,0.1186,-0.0409,-0.0145,4.5993
I404,0,A,40.46,I,,,,,,,,,,,
I409,0,A,40.96,A,,,,,,,,,,,
I414,0,A,41.46,A,,,,,,,,,,,
I419,0,A,41.96,A,,,,,,,,,,,
I424,0,A,42.46,A,,,,,,,,,,,
I429,0,A,42.96,O,,,,,,,,,,,
I434,0,A,43.46,O,0.52,-0.689,01/09/2022,1,104.0,,,,,,
I439,0,A,43.96,O,0.8,-0.494,31/08/2022,10,3594.0,0.356,0.5478,0.116,-0.0686,-0.0857,3.7986
