TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
V980,0,E,9.8,O,,,,,,,,,,,
V100,0,E,10.0,O,,,,,,,,,,,
V105,0,E,10.5,O,,,,,,,,,,,
V110,0,E,11.0,O,,,,,,,,,,,
V115,0,E,11.5,O,,,,,,,,,,,
V120,0,E,12.0,O,0.1,0.0,29/09/2022,1,90.0,0.56656,-0.0697,0.052,-0.0069,-0.069,0.608
V125,0,E,12.5,O,0.08,-0.68,15/09/2022,1,8.0,,,,,,
V130,1,E,13.0,O,0.09,0.0,11/10/2022,1,36.0,0.57109,-0.1876,0.1291,-0.0159,-0.1767,0.9832
V135,1,E,13.5,A,0.25,0.3889,07/10/2022,1,250.0,0.34312,-0.3204,0.3606,-0.0136,-0.0544,1.0346
V140,1,E,14.0,I,0.38,-0.1364,11/10/2022,2,1056.0,0.47016,-0.2639,0.1747,-0.0147,-0.0387,1.3006
V142,0,E,14.25,I,0.44,-0.5,30/09/2022,4,48500.0,0.47125,-0.423,0.2229,-0.0166,-0.0377,1.4592
V145,1,E,14.5,I,0.77,-0.172,11/10/2022,4,2044.0,0.3975,-0.89,0.2291,-0.0058,-0.0075,0.3882
V150,0,E,15.0,I,1.28,-0.0725,11/10/2022,1,128.0,0.34594,-0.8276,0.2544,-0.0048,-0.0037,0.7411
V155,0,E,15.5,I,2.0,0.0526,11/10/2022,2,405.0,0.51867,-0.659,0.1944,-0.0157,-0.0078,1.3346
V160,0,E,16.0,I,1.8,0.0227,04/10/2022,2,36180.0,0.47953,-0.5948,0.1935,-0.0149,-0.0083,1.6189
V165,0,E,16.5,I,1.24,,22/09/2022,1,496.0,0.47172,-0.5317,0.1623,-0.0128,-0.0103,2.0658
V167,0,E,16.75,I,,,,,,,,,,,
V170,0,E,17.0,I,1.37,,13/09/2022,2,542.0,,,,,,
V175,0,E,17.5,I,,,,,,,,,,,
V180,0,E,18.0,I,2.06,,13/09/2022,1,618.0,,,,,,
V185,0,E,18.5,I,,,,,,,,,,,
V190,0,E,19.0,I,,,,,,,,,,,
V195,0,E,19.5,I,,,,,,,,,,,
V205,0,E,20.5,I,,,,,,,,,,,
V215,0,E,21.5,I,,,,,,,,,,,
