TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
N155,0,E,15.5,O,,,,,,,,,,,
N165,0,E,16.5,O,,,,,,,,,,,
N175,0,E,17.5,O,,,,,,,,,,,
N185,0,E,18.5,O,,,,,,0.4625,-0.0235,0.0171,-0.0038,,0.3899
N200,0,E,20.0,O,0.06,0.5,31/01/2023,1,24.0,0.55562,-0.0333,0.0227,-0.0082,-0.1368,0.4379
N210,0,E,21.0,O,0.02,0.0,02/02/2023,2,102.0,,,,,,
N220,0,E,22.0,O,0.02,-0.7778,31/01/2023,1,2.0,0.28187,-0.357,0.169,-0.0086,-0.431,2.9201
N230,0,E,23.0,O,0.12,-0.2941,30/01/2023,1,60.0,0.23945,-0.354,0.243,-0.0103,-0.0856,2.3774
N235,0,E,23.5,O,0.12,-0.2,31/01/2023,1,48.0,,,,,,
N245,0,E,24.5,O,0.21,-0.087,02/02/2023,1,21.0,,,,,,
N255,0,E,25.5,A,0.5,-0.0909,02/02/2023,1,50.0,,,,,,
N265,0,E,26.5,I,,,,,,,,,,,
N275,0,E,27.5,I,1.59,-0.4218,31/01/2023,1,477.0,,,,,,
N285,0,E,28.5,I,,,,,,,,,,,
N300,0,E,30.0,I,,,,,,,,,,,
