TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
A150,0,A,15.0,I,,,,,,,,,,,
A152,0,E,15.25,I,,,,,,,,,,,
A155,0,A,15.5,I,,,,,,,,,,,
A157,0,E,15.75,I,,,,,,,,,,,
A160,0,A,16.0,I,,,,,,,,,,,
A162,0,E,16.25,I,,,,,,,,,,,
A165,0,A,16.5,I,,,,,,,,,,,
A167,0,E,16.75,I,,,,,,,,,,,
A170,0,A,17.0,I,,,,,,,,,,,
A172,0,E,17.25,I,,,,,,,,,,,
A175,0,A,17.5,I,,,,,,,,,,,
A177,0,E,17.75,I,,,,,,,,,,,
A180,0,A,18.0,I,,,,,,,,,,,
A182,0,E,18.25,I,,,,,,,,,,,
A185,0,A,18.5,I,,,,,,,,,,,
A187,0,E,18.75,I,,,,,,,,,,,
A190,0,A,19.0,I,,,,,,,,,,,
A192,0,E,19.25,I,,,,,,,,,,,
A195,0,A,19.5,I,,,,,,,,,,,
A197,0,E,19.75,I,,,,,,,,,,,
A200,0,A,20.0,I,6.48,,19/08/2022,2,7776.0,,,,,,
A202,0,E,20.25,I,,,,,,,,,,,
A205,0,A,20.5,I,,,,,,,,,,,
A207,0,E,20.75,I,,,,,,,,,,,
A210,0,A,21.0,I,,,,,,,,,,,
A212,0,E,21.25,I,,,,,,,,,,,
A215,0,A,21.5,I,,,,,,,,,,,
A217,0,E,21.75,I,,,,,,,,,,,
A220,0,A,22.0,I,,,,,,,,,,,
A222,0,E,22.25,I,,,,,,,,,,,
A225,0,A,22.5,I,16.45,0.351,17/01/2023,1,4935.0,,,,,,
A227,0,E,22.75,I,,,,,,,,,,,
A230,0,A,23.0,I,,,,,,,,,,,
A232,0,E,23.25,I,,,,,,,,,,,
A235,0,A,23.5,I,,,,,,,,,,,
A237,0,E,23.75,I,,,,,,,,,,,
A240,0,A,24.0,I,14.0,0.308,11/01/2023,1,7000.0,,,,,,
A242,0,E,24.25,I,,,,,,,,,,,
A245,0,A,24.5,I,,,,,,,,,,,
A247,0,E,24.75,I,14.34,0.295,16/01/2023,1,5736.0,,,,,,
A250,0,A,25.0,I,14.06,0.002,16/01/2023,1,2812.0,,,,,,
A255,0,A,25.5,I,12.35,0.083,11/01/2023,1,4940.0,,,,,,
A260,0,A,26.0,I,11.86,0.289,11/01/2023,1,4744.0,,,,,,
A265,0,A,26.5,I,9.74,0.081,10/01/2023,1,974.0,,,,,,
A270,0,A,27.0,I,9.31,0.034,10/01/2023,1,931.0,,,,,,
A275,0,A,27.5,I,7.91,,25/10/2022,2,7909.0,,,,,,
A280,0,A,28.0,I,8.3,0.248,10/01/2023,1,8300.0,,,,,,
A285,0,A,28.5,I,7.93,0.101,10/01/2023,1,11895.0,,,,,,
A290,0,A,29.0,I,9.79,0.327,13/01/2023,2,6850.0,,,,,,
A295,0,A,29.5,I,4.94,-0.34,06/01/2023,2,4960.0,,,,,,
A300,0,A,30.0,I,6.42,0.216,10/01/2023,5,46055.0,,,,,,
A305,0,A,30.5,I,6.25,0.116,28/12/2022,6,15316.0,,,,,,
A310,0,A,31.0,I,7.85,-0.031,17/01/2023,1,3140.0,0.396,0.7754,0.0463,-0.0284,-0.0036,4.8958
A315,0,A,31.5,I,4.0,-0.13,10/01/2023,1,800.0,,,,,,
A320,0,A,32.0,I,7.25,0.028,17/01/2023,1,7975.0,,,,,,
A322,0,E,32.25,I,7.33,0.629,12/01/2023,2,5864.0,,,,,,
