TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B110,0,A,11.0,I,,,,,,,,,,,
B115,0,A,11.5,I,,,,,,,,,,,
B120,0,A,12.0,I,0.88,,20/12/2022,2,879.0,,,,,,
B122,0,E,12.25,I,,,,,,,,,,,
B125,0,A,12.5,I,,,,,,,,,,,
B127,0,E,12.75,I,,,,,,,,,,,
B130,0,A,13.0,I,2.45,2.141,27/01/2023,1,490.0,,,,,,
B132,0,E,13.25,I,,,,,,,,,,,
B135,0,A,13.5,I,0.61,-0.237,04/01/2023,1,2196.0,,,,,,
B137,0,E,13.75,I,,,,,,,,,,,
B140,0,A,14.0,I,1.6,0.119,24/01/2023,1,800.0,0.409,0.369,0.1829,-0.0123,-0.0077,1.9026
B145,0,A,14.5,A,,,,,,,,,,,
B150,0,A,15.0,O,0.39,-0.316,13:07:54,4,1685.0,0.399,0.3781,0.3022,-0.0227,-0.0583,1.1988
B155,0,A,15.5,O,0.4,-0.048,27/01/2023,1,400.0,,,,,,
B160,0,A,16.0,O,0.13,-0.48,15:16:39,5,1689.0,0.451,0.1771,0.1827,-0.0167,-0.1285,0.8185
B170,0,A,17.0,O,0.1,0.25,27/01/2023,1,160.0,0.417,0.145,0.1408,-0.012,-0.1197,0.8839
B180,0,A,18.0,O,0.02,0.0,23/01/2023,1,2.0,0.371,0.0209,0.0246,-0.0012,-0.0579,0.2764
B190,0,A,19.0,O,,,,,,,,,,,
B200,0,A,20.0,O,,,,,,,,,,,
B210,0,A,21.0,O,,,,,,,,,,,
B220,0,A,22.0,O,,,,,,,,,,,
