TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
I105,0,A,10.5,I,,,,,,,,,,,
I110,0,A,11.0,I,,,,,,,,,,,
I115,0,A,11.5,I,,,,,,,,,,,
I120,0,A,12.0,I,,,,,,,,,,,
I125,0,A,12.5,I,,,,,,,,,,,
I130,0,A,13.0,I,,,,,,,,,,,
I135,0,A,13.5,I,,,,,,,,,,,
I140,0,A,14.0,I,1.44,,20/07/2022,1,14400.0,0.37,0.7455,0.1537,-0.0143,-0.0099,1.809
I145,0,A,14.5,I,1.49,0.014,17/08/2022,1,447.0,0.352,0.7464,0.2306,-0.0187,-0.0126,1.264
I150,1,A,15.0,I,0.66,-0.29,25/08/2022,3,14548.0,0.319,0.7114,0.2745,-0.0188,-0.0285,1.334
I155,1,A,15.5,A,0.54,-0.069,25/08/2022,1,54.0,0.321,0.5652,0.3131,-0.0199,-0.0369,1.5392
I160,1,A,16.0,O,0.21,-0.4,25/08/2022,8,2968.0,0.29,0.3021,0.3231,-0.015,-0.0714,1.2987
I165,1,A,16.5,O,0.07,-0.632,25/08/2022,5,498990.0,0.311,0.2615,0.2676,-0.0145,-0.2071,1.2714
I170,0,A,17.0,O,0.09,-0.357,25/08/2022,3,923.0,0.327,0.1959,0.2143,-0.0127,-0.1411,1.0901
I175,0,A,17.5,O,0.11,2.667,23/08/2022,4,103.0,0.347,0.2314,0.1731,-0.0122,-0.1109,1.5464
I180,0,A,18.0,O,0.01,,25/08/2022,1,24.0,,,,,,
I185,0,A,18.5,O,,,,,,,,,,,
I190,0,A,19.0,O,,,,,,,,,,,
I195,0,A,19.5,O,,,,,,,,,,,
I200,0,A,20.0,O,,,,,,,,,,,
I205,0,A,20.5,O,,,,,,,,,,,
I210,0,A,21.0,O,,,,,,,,,,,
