TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
X400,0,E,4.0,O,,,,,,,,,,,
X440,0,E,4.4,O,,,,,,,,,,,
X480,0,E,4.8,O,,,,,,,,,,,
X520,0,E,5.2,O,,,,,,,,,,,
X560,0,E,5.6,O,,,,,,,,,,,
X600,0,E,6.0,O,,,,,,,,,,,
X640,0,E,6.4,O,,,,,,,,,,,
X680,0,E,6.8,O,,,,,,0.6575,-0.2126,0.4311,-0.0187,,0.2973
X720,0,E,7.2,A,0.19,2.8,09/12/2022,1,380.0,0.64437,-0.4218,0.5921,-0.0241,-0.1266,0.4012
X740,0,E,7.4,A,0.35,1.0588,09/12/2022,1,1750.0,0.64875,-0.5412,0.5965,-0.0241,-0.0688,0.4069
X760,0,E,7.6,I,0.45,1.25,09/12/2022,1,2250.0,0.71094,-0.6377,0.5143,-0.0245,-0.0545,0.3845
X780,0,E,7.8,I,0.6,0.875,09/12/2022,1,1800.0,0.61687,-0.6187,0.5325,-0.02,-0.0333,0.4423
X800,0,E,8.0,I,0.76,0.3333,09/12/2022,1,4560.0,0.65437,-0.7019,0.4566,-0.0187,-0.0247,0.4023
X820,0,E,8.2,I,0.47,-0.1754,07/12/2022,1,94.0,0.61406,-0.7181,0.3839,-0.0131,-0.028,0.4838
X840,0,E,8.4,I,1.1,1.2449,09/12/2022,1,2200.0,0.73312,-0.5658,0.2764,-0.0158,-0.0144,0.7642
X860,0,E,8.6,I,0.91,0.1098,06/12/2022,4,3076.0,0.7175,-0.6487,0.298,-0.016,-0.0175,0.6434
X880,0,E,8.8,I,0.85,-0.2797,06/12/2022,5,4990.0,0.73656,-0.6984,0.2838,-0.0159,-0.0187,0.5811
X900,0,E,9.0,I,1.08,0.08,07/12/2022,4,5430.0,0.7525,-0.7004,0.2375,-0.0132,-0.0123,0.6756
X920,0,E,9.2,I,1.45,0.2185,17/11/2022,1,7250.0,0.70047,-0.5653,0.2211,-0.0127,-0.0088,1.0001
X940,0,E,9.4,I,1.51,0.5567,02/12/2022,1,3020.0,0.71437,-0.6213,0.2118,-0.012,-0.0079,0.9564
X960,0,E,9.6,I,0.89,-0.1275,08/11/2022,1,4450.0,0.71844,-0.6573,0.2034,-0.0113,-0.0127,0.9241
X980,0,E,9.8,I,1.32,0.4831,14/11/2022,1,1320.0,0.66719,-0.6632,0.2119,-0.0104,-0.0079,0.9428
X100,0,E,10.0,I,1.41,0.7848,18/11/2022,5,1586.0,0.71687,-0.6489,0.1965,-0.012,-0.0085,0.9763
X102,0,E,10.25,I,,,,,,,,,,,
X105,0,E,10.5,I,1.12,,04/11/2022,6,65800.0,0.69125,-0.6341,0.181,-0.011,-0.0098,1.131
X110,0,E,11.0,I,3.1,0.8675,17/11/2022,2,10230.0,0.66906,-0.7084,0.1646,-0.0082,-0.0026,1.0696
X112,0,E,11.25,I,,,,,,,,,,,
X115,0,E,11.5,I,3.58,0.2345,07/12/2022,1,37590.0,0.67094,-0.7748,0.1438,-0.006,-0.0017,0.9331
X117,0,E,11.75,I,,,,,,,,,,,
X120,0,E,12.0,I,3.95,0.0128,02/12/2022,1,790.0,,,,,,
X122,0,E,12.25,I,,,,,,,,,,,
X125,0,E,12.5,I,,,,,,,,,,,
X127,0,E,12.75,I,,,,,,,,,,,
X130,0,E,13.0,I,5.37,0.0827,08/12/2022,1,34905.0,,,,,,
X132,0,E,13.25,I,3.7,,03/11/2022,1,740.0,,,,,,
X135,0,E,13.5,I,,,,,,,,,,,
X137,0,E,13.75,I,4.99,,18/11/2022,1,10479.0,,,,,,
X140,0,E,14.0,I,,,,,,,,,,,
X145,0,E,14.5,I,,,,,,,,,,,
X180,0,E,18.0,I,10.75,0.0623,09/12/2022,1,9675.0,,,,,,
X200,0,E,20.0,I,8.9,-0.0231,19/09/2022,2,1795.0,,,,,,
X220,0,E,22.0,I,,,,,,,,,,,
X235,0,E,25.0,I,,,,,,,,,,,
X265,0,E,26.5,I,18.73,0.2339,07/12/2022,1,224760.0,,,,,,
X287,0,E,28.75,I,,,,,,,,,,,
X290,0,E,29.0,I,,,,,,,,,,,
X292,0,E,29.25,I,,,,,,,,,,,
X295,0,E,29.5,I,,,,,,,,,,,
X297,0,E,29.75,I,,,,,,,,,,,
X300,0,E,30.0,I,,,,,,,,,,,
