TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
N583,0,E,58.37,O,,,,,,,,,,,
N603,0,E,60.37,O,,,,,,,,,,,
N623,0,E,62.37,O,,,,,,,,,,,
N633,0,E,63.37,O,,,,,,,,,,,
N643,0,E,64.37,O,,,,,,,,,,,
N653,0,E,65.37,O,,,,,,,,,,,
N663,0,E,66.37,O,,,,,,,,,,,
N673,0,E,67.37,O,2.1,,04/01/2023,1,1260.0,,,,,,
N683,0,E,68.37,O,1.39,,20/12/2022,2,34559.0,,,,,,
N693,0,E,69.37,O,1.1,,10/01/2023,1,187000.0,,,,,,
N703,0,E,70.37,O,3.35,,04/01/2023,1,335.0,,,,,,
N713,0,E,71.37,O,1.0,-0.5283,17/01/2023,1,1000.0,0.40496,-0.2993,0.0338,-0.0482,-0.0482,8.8139
N730,0,E,72.37,O,0.7,-0.6957,13/01/2023,3,230.0,0.41979,-0.3588,0.0342,-0.0498,-0.0711,9.7299
N740,0,E,73.37,O,1.2,-0.52,17/01/2023,2,2400.0,0.42545,-0.4063,0.0352,-0.0507,-0.0422,10.0551
N750,0,E,74.37,O,1.26,-0.2674,17/01/2023,2,942.0,0.39496,-0.3066,0.035,-0.0511,-0.0405,8.9159
N760,0,E,75.37,O,0.7,-0.3,23/01/2023,1,420.0,0.3948,-0.459,0.0404,-0.0488,-0.0698,9.8667
N770,0,E,76.37,O,0.6,-0.1667,25/01/2023,2,660.0,0.38797,-0.4657,0.0408,-0.048,-0.08,9.9924
N780,0,E,77.37,O,0.75,-0.1667,25/01/2023,2,1650.0,0.36541,-0.2223,0.0361,-0.0541,-0.0722,6.7287
N790,0,E,78.37,O,1.45,-0.3908,20/01/2023,1,145.0,0.38137,-0.5113,0.0443,-0.0513,-0.0354,9.422
N800,0,E,79.37,O,1.65,-0.0833,23/01/2023,2,2375.0,0.38141,-0.5524,0.0439,-0.0487,-0.0295,9.3493
N810,0,E,80.37,O,1.8,-0.1509,23/01/2023,1,180.0,0.34809,-0.3195,0.0452,-0.0591,-0.0328,8.1259
N820,0,E,81.37,O,5.05,-0.095,29/12/2022,1,505.0,0.38082,-0.4994,0.0342,-0.0369,-0.0073,12.2153
N830,1,E,82.37,O,2.24,-0.2774,24/01/2023,1,2464.0,0.34322,-0.4645,0.0529,-0.0606,-0.0271,8.6966
N833,1,E,83.37,A,1.99,,25/01/2023,10,11361.0,,,,,,
N843,1,E,84.37,A,,,,,,,,,,,
N853,1,E,85.37,A,,,,,,,,,,,
N863,0,E,86.37,I,,,,,,,,,,,
N873,0,E,87.37,I,,,,,,,,,,,
N883,0,E,88.37,I,,,,,,,,,,,
N893,0,E,89.37,I,,,,,,,,,,,
N903,0,E,90.37,I,,,,,,,,,,,
N913,0,E,91.37,I,,,,,,,,,,,
N923,0,E,92.37,I,,,,,,,,,,,
N943,0,E,94.37,I,,,,,,,,,,,
N963,0,E,96.37,I,,,,,,,,,,,
N990,0,E,98.37,I,14.0,-0.125,25/01/2023,2,29000.0,0.225,-0.9976,0.0014,0.052,0.0037,0.1775
N100,0,E,100.37,I,,,,,,,,,,,
N102,0,E,102.37,I,,,,,,,,,,,
N104,0,E,104.37,I,,,,,,,,,,,
N106,0,E,106.37,I,,,,,,,,,,,
N108,0,E,108.37,I,,,,,,,,,,,
N110,0,E,110.37,I,,,,,,,,,,,
