TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M449,0,E,44.66,O,0.01,0.0,02/01/2023,1,20.0,0.88,-0.0022,0.0003,-0.0036,-0.361,0.1692
M464,0,E,46.16,O,0.01,0.0,23/12/2022,1,105.0,0.78438,-0.0024,0.0004,-0.0032,-0.3238,0.1883
M469,0,E,46.66,O,0.01,0.0,28/12/2022,1,10.0,0.84,-0.0024,0.0004,-0.0038,-0.3779,0.1764
M471,0,E,46.91,O,0.01,,27/12/2022,1,105.0,0.765,-0.0031,0.0005,-0.0039,-0.3898,0.2437
M474,0,E,47.16,O,0.01,-0.6667,27/12/2022,1,105.0,0.76,-0.0032,0.0005,-0.0039,-0.3902,0.2457
M476,0,E,47.41,O,0.01,0.0,28/12/2022,2,100.0,0.75375,-0.0032,0.0005,-0.0039,-0.39,0.2477
M479,0,E,47.66,O,0.01,0.0,29/12/2022,4,500.0,0.95875,-0.0023,0.0003,-0.0048,-0.4837,0.1551
M481,0,E,47.91,O,0.01,,27/12/2022,1,105.0,0.74625,-0.0032,0.0005,-0.0039,-0.3909,0.2508
M484,0,E,48.16,O,0.01,,29/12/2022,2,400.0,0.7375,-0.0033,0.0005,-0.0039,-0.3891,0.2528
M486,0,E,48.41,O,0.01,,29/12/2022,2,400.0,0.73,-0.0033,0.0005,-0.0039,-0.3873,0.2543
M489,0,E,48.66,O,0.02,0.0,21/12/2022,1,20.0,0.77,-0.0039,0.0006,-0.0049,-0.246,0.2923
M491,0,E,48.91,O,0.01,-0.5,29/12/2022,4,506.0,0.745,-0.0033,0.0005,-0.0041,-0.4075,0.2504
M494,0,E,49.16,O,0.01,-0.9167,29/12/2022,4,502.0,0.73875,-0.0033,0.0005,-0.0041,-0.4059,0.2515
M496,0,E,49.41,O,0.12,,21/11/2022,9,1824.0,0.75375,-0.0033,0.0005,-0.0043,-0.0356,0.2472
M499,0,E,49.66,O,0.14,-0.1765,21/11/2022,31,6848.0,0.7475,-0.0033,0.0005,-0.0043,-0.0304,0.2489
M537,0,E,50.16,O,0.01,-0.5,02/01/2023,2,250.0,0.72125,-0.0027,0.0005,-0.0035,-0.3485,0.2007
M509,0,E,50.66,O,0.01,-0.6667,02/01/2023,2,250.0,0.70437,-0.0028,0.0005,-0.0035,-0.3491,0.2061
M547,0,E,51.16,O,0.02,0.0,27/12/2022,3,105.0,0.7825,-0.0027,0.0005,-0.0041,-0.2074,0.1861
M519,0,E,51.66,O,0.01,-0.5,02/01/2023,3,147.0,0.875,-0.0026,0.0004,-0.0051,-0.5095,0.1673
M557,0,E,52.16,O,0.05,-0.1667,08/12/2022,1,50.0,0.69,-0.0029,0.0005,-0.0036,-0.0729,0.2086
M529,0,E,52.66,O,0.01,0.0,03/01/2023,3,425.0,0.87625,-0.0027,0.0005,-0.0055,-0.5476,0.1666
M567,0,E,53.16,O,0.05,0.0,08/12/2022,4,530.0,0.73125,-0.0036,0.0006,-0.0049,-0.0989,0.2524
M539,0,E,53.66,O,0.01,0.0,04/01/2023,1,49.0,0.92625,-0.0025,0.0004,-0.006,-0.5984,0.1586
M577,0,E,54.16,O,0.02,-0.6667,03/01/2023,1,20.0,0.7625,-0.0027,0.0005,-0.0044,-0.2197,0.1904
M549,0,E,54.66,O,0.02,-0.5,28/12/2022,1,60.0,0.82,-0.0028,0.0005,-0.0054,-0.2716,0.1769
M587,0,E,55.16,O,0.01,0.0,02/01/2023,3,8.0,0.75687,-0.0029,0.0005,-0.0047,-0.4688,0.1917
M559,0,E,55.66,O,0.01,0.0,06/01/2023,1,1.0,0.77125,-0.0029,0.0005,-0.005,-0.501,0.1873
M597,0,E,56.16,O,0.01,-0.5,02/01/2023,1,1.0,0.75875,-0.003,0.0006,-0.005,-0.5017,0.1908
M569,0,E,56.66,O,0.01,0.0,06/01/2023,1,1.0,0.74562,-0.003,0.0006,-0.005,-0.4989,0.1931
M607,0,E,57.16,O,0.01,-0.6667,04/01/2023,3,250.0,0.73,-0.0031,0.0006,-0.005,-0.4982,0.1972
M579,0,E,57.66,O,0.01,-0.8333,16/01/2023,1,10.0,0.71625,-0.0031,0.0006,-0.0049,-0.4932,0.1991
M800,0,E,58.16,O,0.01,0.0,06/01/2023,2,105.0,0.70437,-0.0032,0.0006,-0.0049,-0.4947,0.2031
M622,0,E,58.66,O,0.01,0.0,06/01/2023,1,50.0,0.6925,-0.0032,0.0007,-0.0049,-0.4914,0.2054
M594,0,E,59.16,O,0.01,0.0,16/01/2023,1,10.0,0.76063,-0.0033,0.0007,-0.0063,-0.6287,0.1867
M632,0,E,59.66,O,0.01,0.0,10/01/2023,1,1.0,0.69375,-0.0033,0.0007,-0.0053,-0.5275,0.2041
M820,0,E,60.16,O,0.01,-0.5,06/01/2023,2,400.0,0.7425,-0.0034,0.0007,-0.0063,-0.6273,0.191
M647,0,E,61.16,O,0.01,-0.5,06/01/2023,7,1000.0,0.775,-0.0033,0.0007,-0.0069,-0.6914,0.1829
M652,0,E,61.66,O,0.01,0.0,16/01/2023,1,1.0,0.845,-0.0042,0.0008,-0.0099,-0.9863,0.2148
M840,0,E,62.16,O,0.01,-0.5,09/01/2023,3,50.0,0.70875,-0.0035,0.0008,-0.0062,-0.623,0.199
M662,0,E,62.66,O,0.01,0.0,11/01/2023,6,17.0,0.66438,-0.0058,0.0013,-0.0086,-0.8572,0.3203
M667,0,E,63.16,O,0.01,-0.5,09/01/2023,4,500.0,0.73375,-0.0035,0.0008,-0.0069,-0.6867,0.1922
M672,0,E,63.66,O,0.01,0.0,11/01/2023,1,15.0,0.7125,-0.0036,0.0008,-0.0069,-0.6855,0.1977
M860,0,E,64.16,O,0.01,-0.5,10/01/2023,1,3.0,0.91625,-0.0029,0.0006,-0.0089,-0.8885,0.1581
M682,0,E,64.66,O,0.01,0.0,13/01/2023,2,300.0,0.685,-0.0037,0.0009,-0.0068,-0.6756,0.2029
M687,0,E,65.16,O,0.02,0.0,10/01/2023,1,2.0,0.66375,-0.0038,0.0009,-0.0067,-0.3357,0.2083
