TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B282,0,A,28.25,I,,,,,,,,,,,
B290,0,A,28.75,I,,,,,,,,,,,
B295,0,A,29.75,I,,,,,,0.247,0.7861,0.0909,-0.0228,,3.7725
B300,0,A,30.25,I,,,,,,0.254,0.7315,0.1004,-0.0238,,4.2698
B305,0,A,30.75,I,,,,,,0.241,0.75,0.1011,-0.0237,,4.1466
B310,0,A,31.25,I,1.47,,19/12/2022,1,1470.0,0.172,0.8198,0.144,-0.0224,-0.0152,2.7819
B317,0,A,31.75,I,1.2,0.081,20/01/2023,1,600.0,0.188,0.7381,0.1733,-0.025,-0.0209,3.2616
B322,1,A,32.25,I,0.9,0.0,20/01/2023,1,1800.0,0.194,0.8713,0.1231,-0.0255,-0.0284,1.8438
B327,1,A,32.75,I,0.8,-0.036,23/01/2023,1,800.0,0.197,0.7927,0.165,-0.0283,-0.0354,2.51
B330,0,E,33.0,I,0.7,-0.028,23/01/2023,1,280.0,,,,,,
B332,1,A,33.25,A,0.8,0.096,25/01/2023,1,240.0,0.195,0.7009,0.2031,-0.0297,-0.0372,3.0474
B337,1,A,33.75,A,0.56,0.0,25/01/2023,1,56.0,0.244,0.5285,0.132,-0.026,-0.0465,4.922
B342,1,A,34.25,A,0.64,0.939,25/01/2023,3,500.0,,,,,,
B347,0,A,34.75,O,0.45,1.812,25/01/2023,2,140.0,,,,,,
B352,0,A,35.25,O,0.25,-0.583,25/01/2023,4,207.0,,,,,,
B357,0,A,35.75,O,0.01,-0.976,23/01/2023,1,8.0,,,,,,
B360,0,E,36.0,O,2.4,-0.073,27/09/2022,1,480.0,,,,,,
B362,0,A,36.25,O,,,,,,,,,,,
B367,0,A,36.75,O,0.12,,26/12/2022,2,156.0,,,,,,
B372,0,A,37.25,O,,,,,,,,,,,
B377,0,A,37.75,O,,,,,,,,,,,
B382,0,A,38.25,O,,,,,,,,,,,
B387,0,A,38.75,O,,,,,,,,,,,
B392,0,A,39.25,O,,,,,,,,,,,
B397,0,A,39.75,O,,,,,,,,,,,
B402,0,A,40.25,O,,,,,,,,,,,
B407,0,A,40.75,O,,,,,,,,,,,
B412,0,A,41.25,O,,,,,,,,,,,
