TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B704,0,A,7.04,I,0.6,1.4,20/01/2023,2,100.0,,,,,,
B857,0,A,8.44,O,0.13,0.0,20/01/2023,6,917.0,0.445,0.2347,0.3314,-0.0084,-0.0646,0.64
B864,0,A,8.64,O,0.32,,12/01/2023,2,62.0,0.462,0.1902,0.2823,-0.0076,-0.0238,0.5659
B917,0,A,9.04,O,0.23,0.533,10/01/2023,4,233.0,0.465,0.2753,0.2687,-0.0085,-0.037,0.8925
B967,0,A,9.54,O,0.12,0.333,10/01/2023,2,264.0,0.469,0.169,0.2018,-0.0063,-0.0525,0.6714
B102,0,A,10.14,O,0.14,1.333,23/12/2022,2,71.0,,,,,,
B107,0,A,10.64,O,,,,,,,,,,,
B112,0,A,11.14,O,,,,,,,,,,,
B117,0,A,11.64,O,0.04,-0.8,12/12/2022,1,40.0,,,,,,
B122,0,A,12.14,O,,,,,,,,,,,
B127,0,A,12.64,O,,,,,,,,,,,
B132,0,A,13.14,O,,,,,,,,,,,
B137,0,A,13.64,O,,,,,,,,,,,
B142,0,A,14.14,O,,,,,,,,,,,
B147,0,A,14.64,O,,,,,,,,,,,
B152,0,A,15.14,O,,,,,,,,,,,
B157,0,A,15.64,O,0.02,,20/01/2023,1,10.0,,,,,,
B172,0,A,17.14,O,,,,,,,,,,,
B192,0,A,19.14,O,,,,,,,,,,,
B215,0,A,20.14,O,0.01,-0.96,20/01/2023,1,28.0,,,,,,
