TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B750,0,E,7.5,I,,,,,,,,,,,
B850,0,E,8.5,I,,,,,,,,,,,
B950,0,E,9.5,I,,,,,,,,,,,
B105,0,A,10.5,I,,,,,,,,,,,
B115,0,A,11.5,I,,,,,,,,,,,
B120,0,A,12.0,I,,,,,,,,,,,
B125,0,A,12.5,I,1.03,,24/01/2023,2,3894.0,0.556,0.6259,0.1987,-0.0239,-0.0232,1.3002
B130,1,A,13.0,I,1.0,0.408,25/01/2023,6,21795.0,0.545,0.6131,0.2098,-0.0258,-0.0258,1.281
B135,1,A,13.5,A,0.76,0.689,25/01/2023,1,532.0,0.535,0.5087,0.2048,-0.0237,-0.0312,1.4522
B140,1,A,14.0,O,0.5,0.282,25/01/2023,7,12000.0,0.539,0.3783,0.1962,-0.0218,-0.0437,1.3667
B145,1,A,14.5,O,0.3,0.0,25/01/2023,2,560.0,0.524,0.4677,0.1839,-0.0227,-0.0758,1.6425
B150,0,A,15.0,O,0.27,0.588,25/01/2023,6,6659.0,0.473,0.219,0.1793,-0.0158,-0.0585,1.0287
B155,0,A,15.5,O,0.08,-0.75,23/01/2023,1,32.0,0.511,0.5204,0.1567,-0.0225,-0.2818,1.981
B160,0,A,16.0,O,0.04,-0.667,24/01/2023,1,16.0,0.47,0.2017,0.1452,-0.0138,-0.3453,1.1589
B165,0,A,16.5,O,0.39,,09/01/2023,1,390.0,,,,,,
B170,0,A,17.0,O,0.08,-0.2,18/01/2023,1,200.0,,,,,,
B175,0,A,17.5,O,0.27,0.35,11/01/2023,8,188.0,,,,,,
B180,0,A,18.0,O,0.03,-0.769,24/01/2023,1,3.0,,,,,,
B185,0,A,18.5,O,0.04,-0.867,06/01/2023,1,20.0,,,,,,
B190,0,A,19.0,O,0.01,-0.917,24/01/2023,1,50.0,,,,,,
B195,0,A,19.5,O,,,,,,,,,,,
B200,0,A,20.0,O,,,,,,,,,,,
B205,0,A,20.5,O,,,,,,,,,,,
B210,0,A,21.0,O,,,,,,,,,,,
B215,0,A,21.5,O,,,,,,,,,,,
B220,0,A,22.0,O,0.25,-0.583,16/12/2022,1,25.0,,,,,,
B225,0,A,22.5,O,,,,,,,,,,,
B230,0,A,23.0,O,,,,,,,,,,,
B400,0,A,40.0,O,,,,,,,,,,,
