TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B120,0,A,12.0,I,,,,,,,,,,,
B125,0,A,12.5,I,,,,,,0.556,0.6813,0.178,-0.0231,,1.288
B130,1,A,13.0,A,0.95,0.118,23/01/2023,1,285.0,0.54,0.5776,0.2015,-0.0236,-0.0249,1.4078
B135,1,A,13.5,O,0.58,-0.147,23/01/2023,7,1277.0,0.535,0.5087,0.2048,-0.0237,-0.0409,1.4522
B140,1,A,14.0,O,0.48,0.043,23/01/2023,3,118844.0,0.539,0.3783,0.1962,-0.0218,-0.0455,1.3667
B145,1,A,14.5,O,0.3,-0.583,20/01/2023,1,90.0,0.524,0.4677,0.1839,-0.0227,-0.0758,1.6425
B150,0,A,15.0,O,0.15,-0.634,23/01/2023,6,468.0,0.527,0.3232,0.1727,-0.02,-0.1331,1.417
B155,0,A,15.5,O,0.08,-0.75,23/01/2023,1,32.0,0.511,0.5204,0.1567,-0.0225,-0.2818,1.981
B160,0,A,16.0,O,0.12,-0.368,23/01/2023,1,120.0,0.47,0.2017,0.1452,-0.0138,-0.1151,1.1589
B165,0,A,16.5,O,0.39,,09/01/2023,1,390.0,,,,,,
B170,0,A,17.0,O,0.08,-0.2,18/01/2023,1,200.0,,,,,,
B175,0,A,17.5,O,0.27,0.35,11/01/2023,8,188.0,,,,,,
B180,0,A,18.0,O,0.13,-0.594,06/01/2023,1,130.0,,,,,,
B185,0,A,18.5,O,0.04,-0.867,06/01/2023,1,20.0,,,,,,
B190,0,A,19.0,O,0.12,,23/12/2022,1,60.0,,,,,,
B195,0,A,19.5,O,,,,,,,,,,,
B200,0,A,20.0,O,,,,,,,,,,,
B205,0,A,20.5,O,,,,,,,,,,,
B210,0,A,21.0,O,,,,,,,,,,,
B215,0,A,21.5,O,,,,,,,,,,,
B220,0,A,22.0,O,0.25,-0.583,16/12/2022,1,25.0,,,,,,
B225,0,A,22.5,O,,,,,,,,,,,
B230,0,A,23.0,O,,,,,,,,,,,
B400,0,A,40.0,O,,,,,,,,,,,
