TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
N282,0,E,28.25,O,0.37,,20/12/2022,2,45180.0,,,,,,
N290,0,E,28.75,O,,,,,,,,,,,
N295,0,E,29.75,O,,,,,,,,,,,
N300,0,E,30.25,O,0.5,-0.1228,10/01/2023,2,191.0,0.34629,-0.376,0.0867,-0.0124,-0.0247,4.7972
N305,0,E,30.75,O,0.15,-0.1667,25/01/2023,1,150.0,0.28664,-0.201,0.0997,-0.0134,-0.0897,2.7596
N310,0,E,31.25,O,0.3,0.0,23/01/2023,1,60.0,0.32117,-0.3612,0.0911,-0.0119,-0.0398,4.7939
N317,0,E,31.75,O,0.17,-0.5854,25/01/2023,3,466.0,0.29086,-0.4414,0.1289,-0.0134,-0.0787,4.1528
N322,1,E,32.25,O,0.33,-0.45,25/01/2023,1,66.0,0.29203,-0.4469,0.1291,-0.014,-0.0425,4.1468
N327,1,E,32.75,O,0.42,-0.4247,25/01/2023,1,42.0,0.26297,-0.5405,0.1562,-0.0118,-0.0282,3.8344
N330,1,E,33.0,O,0.73,-0.5521,19/01/2023,2,525.0,0.24492,-0.5621,0.1732,-0.0109,-0.0149,3.6616
N332,0,E,33.25,A,0.82,-0.2613,18/01/2023,1,1640.0,,,,,,
N337,1,E,33.75,A,0.72,,25/01/2023,1,144.0,0.25414,-0.5615,0.1633,-0.0119,-0.0165,3.7438
N342,0,E,34.25,A,1.7,0.2687,24/01/2023,2,11560.0,,,,,,
N347,0,E,34.75,I,,,,,,,,,,,
N352,0,E,35.25,I,,,,,,,,,,,
N357,0,E,35.75,I,,,,,,,,,,,
N360,0,E,36.0,I,,,,,,,,,,,
N362,0,E,36.25,I,,,,,,,,,,,
N367,0,E,36.75,I,,,,,,,,,,,
N372,0,E,37.25,I,,,,,,,,,,,
N377,0,E,37.75,I,,,,,,,,,,,
N382,0,E,38.25,I,,,,,,,,,,,
N387,0,E,38.75,I,,,,,,,,,,,
N392,0,E,39.25,I,,,,,,,,,,,
N397,0,E,39.75,I,,,,,,,,,,,
N402,0,E,40.25,I,,,,,,,,,,,
N407,0,E,40.75,I,,,,,,,,,,,
N412,0,E,41.25,I,,,,,,,,,,,
