TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B360,0,A,3.6,I,,,,,,,,,,,
B380,0,A,3.8,I,,,,,,,,,,,
B400,0,A,4.0,I,,,,,,,,,,,
B410,0,A,4.1,I,0.41,,17/01/2023,1,820.0,0.679,0.5973,0.4522,-0.0083,-0.0203,0.4876
B420,0,A,4.2,I,0.54,0.125,27/01/2023,1,54.0,0.639,0.7167,0.4387,-0.0087,-0.0162,0.409
B430,0,A,4.3,I,0.48,0.0,27/01/2023,1,96.0,0.66,0.6987,0.443,-0.0095,-0.0199,0.4153
B440,1,A,4.4,I,0.45,0.071,27/01/2023,2,33316.0,0.626,0.658,0.5242,-0.01,-0.0222,0.4113
B450,1,A,4.5,I,0.4,0.379,27/01/2023,5,63340.0,0.627,0.6078,0.5462,-0.0103,-0.0259,0.4313
B460,1,A,4.6,A,0.26,-0.071,27/01/2023,5,8316.0,0.608,0.5515,0.5797,-0.0102,-0.0393,0.444
B470,1,A,4.7,O,0.27,0.421,27/01/2023,3,4310.0,0.621,0.4952,0.5721,-0.0104,-0.0384,0.4477
B480,1,A,4.8,O,0.21,0.4,27/01/2023,10,56780.0,0.606,0.4717,0.5776,-0.0102,-0.0486,0.4524
B490,0,A,4.9,O,0.19,0.583,27/01/2023,3,228.0,0.62,0.3893,0.5199,-0.0092,-0.0484,0.4562
B500,0,A,5.0,O,0.15,0.25,27/01/2023,20,10769.0,0.598,0.3617,0.5514,-0.0093,-0.0622,0.4261
B520,0,A,5.2,O,0.1,0.667,27/01/2023,7,418.0,,,,,,
B540,0,A,5.4,O,0.06,-0.143,27/01/2023,8,233.0,0.602,0.1269,0.3079,-0.0047,-0.078,0.2333
B560,0,A,5.6,O,0.05,0.0,27/01/2023,4,605.0,0.604,0.1256,0.3022,-0.005,-0.1,0.2338
B580,0,A,5.8,O,0.11,-0.154,06/01/2023,1,77.0,0.622,0.2257,0.2816,-0.0052,-0.0474,0.5153
B590,0,E,5.9,O,0.02,,27/01/2023,1,120.0,,,,,,
B620,0,A,6.2,O,0.14,0.4,28/12/2022,1,140.0,0.516,0.2822,0.3149,-0.0054,-0.0384,0.7032
B660,0,A,6.6,O,0.1,,23/12/2022,2,19.0,0.517,0.1864,0.2498,-0.0042,-0.0417,0.5571
B680,0,A,6.8,O,0.3,,21/11/2022,1,7500.0,,,,,,
B700,0,A,7.0,O,,,,,,,,,,,
B740,0,A,7.4,O,,,,,,,,,,,
B760,0,A,7.6,O,0.03,-0.25,10/01/2023,1,6.0,,,,,,
B800,0,A,8.0,O,,,,,,,,,,,
B840,0,A,8.4,O,,,,,,,,,,,
B880,0,A,8.8,O,,,,,,,,,,,
B920,0,A,9.2,O,,,,,,,,,,,
B102,0,E,10.25,O,,,,,,,,,,,
