TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
T515,0,E,5.15,O,0.01,-0.5,12/07/2022,2,355.0,0.5525,-0.0237,0.0358,-0.0011,-0.11,0.1581
T555,0,E,5.55,O,0.02,,29/06/2022,1,400.0,0.53875,-0.032,0.0479,-0.0015,-0.075,0.1993
T595,0,E,5.95,O,0.02,,19/07/2022,1,60.0,0.51,-0.0324,0.0645,-0.0018,-0.09,0.1599
T635,0,E,6.35,O,0.02,-0.3333,25/07/2022,1,2.0,0.44,-0.0395,0.0945,-0.002,-0.1,0.1751
T675,0,E,6.75,O,0.01,0.0,28/07/2022,1,5.0,0.415,-0.0439,0.1158,-0.0023,-0.23,0.1795
T715,0,E,7.15,O,0.03,-0.25,29/07/2022,1,300.0,0.36312,-0.1014,0.253,-0.0037,-0.1233,0.3422
T740,0,E,7.35,O,0.05,0.6667,29/07/2022,1,10.0,0.34,-0.1429,0.3427,-0.0043,-0.086,0.4372
T755,1,E,7.55,O,0.08,0.1429,29/07/2022,2,240.0,0.30562,-0.2264,0.5109,-0.0049,-0.0613,0.5801
T780,1,E,7.75,O,0.12,0.2,29/07/2022,2,384.0,0.28938,-0.3378,0.6553,-0.0053,-0.0442,0.7044
T795,1,E,7.95,A,0.19,0.2667,29/07/2022,12,3336.0,0.28094,-0.4698,0.7337,-0.0051,-0.0268,0.7677
T820,0,E,8.15,I,0.29,0.2609,29/07/2022,43,39996.0,0.27719,-0.6147,0.7148,-0.0041,-0.0141,0.7379
T835,0,E,8.35,I,0.47,0.175,29/07/2022,2,297.0,0.32781,-0.7137,0.4049,-0.0019,-0.004,0.8722
T860,0,E,8.55,I,0.62,-0.3111,27/07/2022,1,19220.0,,,,,,
T875,0,E,8.75,I,0.85,0.3077,29/07/2022,3,4795.0,0.38469,-0.731,0.2766,-0.0013,-0.0015,1.0238
T895,0,E,8.95,I,0.85,-0.0341,28/07/2022,1,85.0,0.32,-0.8726,0.3205,-0.0001,-0.0001,0.4241
T915,0,E,9.15,I,1.1,0.0,28/07/2022,1,110.0,0.39609,-0.6091,0.2477,-0.0023,-0.0021,1.5021
T935,0,E,9.35,I,1.25,-0.2089,28/07/2022,8,1879.0,0.52,-0.8377,0.1827,-0.0014,-0.0011,0.6347
T955,0,E,9.55,I,1.94,0.1086,14/07/2022,7,4275.0,,,,,,
T995,0,E,9.95,I,2.34,0.0174,15/07/2022,1,35100.0,,,,,,
T102,0,E,10.2,I,2.4,0.0169,13/07/2022,2,51836.0,,,,,,
T108,0,E,10.7,I,3.07,0.1004,14/07/2022,1,15350.0,,,,,,
T109,0,E,10.95,I,3.15,-0.0396,26/07/2022,1,7560.0,,,,,,
T115,0,E,11.45,I,3.32,-0.1099,28/07/2022,1,6640.0,,,,,,
T124,0,E,12.45,I,4.2,,10/06/2022,3,7980.0,,,,,,
T134,0,E,13.45,I,,,,,,,,,,,
T144,0,E,14.45,I,,,,,,,,,,,
T154,0,E,15.45,I,,,,,,,,,,,
T164,0,E,16.45,I,8.68,0.1939,11/07/2022,1,4340.0,,,,,,
T174,0,E,17.45,I,,,,,,,,,,,
