TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
T515,0,E,5.15,O,0.01,-0.5,12/07/2022,2,355.0,0.5525,-0.0237,0.0358,-0.0011,-0.11,0.1581
T555,0,E,5.55,O,0.02,,29/06/2022,1,400.0,0.53875,-0.032,0.0479,-0.0015,-0.075,0.1993
T595,0,E,5.95,O,0.02,,19/07/2022,1,60.0,0.51,-0.0324,0.0645,-0.0018,-0.09,0.1599
T635,0,E,6.35,O,0.02,-0.3333,25/07/2022,1,2.0,0.44,-0.0395,0.0945,-0.002,-0.1,0.1751
T675,0,E,6.75,O,0.02,1.0,01/08/2022,1,2.0,0.43625,-0.0432,0.1123,-0.0025,-0.125,0.172
T715,0,E,7.15,O,0.03,0.0,01/08/2022,1,36.0,0.37062,-0.0766,0.2056,-0.0033,-0.11,0.2717
T740,0,E,7.35,O,0.06,0.2,01/08/2022,2,370.0,0.34812,-0.1193,0.303,-0.0042,-0.07,0.376
T755,1,E,7.55,O,0.07,-0.125,01/08/2022,2,560.0,0.33312,-0.1711,0.4021,-0.005,-0.0714,0.4822
T780,1,E,7.75,O,0.1,-0.1667,01/08/2022,11,4255.0,0.31531,-0.2753,0.5601,-0.0059,-0.059,0.631
T795,1,E,7.95,A,0.16,-0.1579,01/08/2022,22,18830.0,0.28625,-0.3996,0.7147,-0.0057,-0.0356,0.7292
T820,1,E,8.15,A,0.25,-0.1379,01/08/2022,9,3794.0,0.27406,-0.5485,0.7653,-0.0049,-0.0196,0.7476
T835,0,E,8.35,I,0.41,-0.1277,01/08/2022,1,205.0,0.28875,-0.7187,0.6235,-0.0033,-0.008,0.6322
T860,0,E,8.55,I,0.62,-0.3111,27/07/2022,1,19220.0,,,,,,
T875,0,E,8.75,I,0.69,-0.1882,01/08/2022,2,7530.0,0.38469,-0.731,0.2766,-0.0013,-0.0019,1.0238
T895,0,E,8.95,I,0.84,-0.0118,01/08/2022,2,4434.0,0.32,-0.8726,0.3205,-0.0001,-0.0001,0.4241
T915,0,E,9.15,I,1.1,0.0,28/07/2022,1,110.0,0.39609,-0.6091,0.2477,-0.0023,-0.0021,1.5021
T935,0,E,9.35,I,1.25,-0.2089,28/07/2022,8,1879.0,0.52,-0.8377,0.1827,-0.0014,-0.0011,0.6347
T955,0,E,9.55,I,1.94,0.1086,14/07/2022,7,4275.0,,,,,,
T995,0,E,9.95,I,2.34,0.0174,15/07/2022,1,35100.0,,,,,,
T102,0,E,10.2,I,2.4,0.0169,13/07/2022,2,51836.0,,,,,,
T108,0,E,10.7,I,3.07,0.1004,14/07/2022,1,15350.0,,,,,,
T109,0,E,10.95,I,3.15,-0.0396,26/07/2022,1,7560.0,,,,,,
T115,0,E,11.45,I,3.32,-0.1099,28/07/2022,1,6640.0,,,,,,
T124,0,E,12.45,I,4.2,,10/06/2022,3,7980.0,,,,,,
T134,0,E,13.45,I,,,,,,,,,,,
T144,0,E,14.45,I,,,,,,,,,,,
T154,0,E,15.45,I,,,,,,,,,,,
T164,0,E,16.45,I,8.68,0.1939,11/07/2022,1,4340.0,,,,,,
T174,0,E,17.45,I,,,,,,,,,,,
