TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B330,0,A,3.3,I,,,,,,,,,,,
B410,0,A,4.1,I,,,,,,,,,,,
B450,0,A,4.5,I,0.18,,31/01/2023,10,1800.0,0.54,0.5402,0.7212,-0.0096,-0.0533,0.4048
B490,0,A,4.9,O,0.07,0.167,31/01/2023,2,2310.0,0.53,0.2721,0.6138,-0.0075,-0.1075,0.3385
B540,0,A,5.4,O,0.11,,12/01/2023,1,110.0,,,,,,
B580,0,A,5.8,O,,,,,,,,,,,
B620,0,A,6.2,O,,,,,,,,,,,
B660,0,A,6.6,O,,,,,,,,,,,
B700,0,A,7.0,O,,,,,,,,,,,
B740,0,A,7.4,O,,,,,,,,,,,
B780,0,A,7.8,O,,,,,,,,,,,
B820,0,A,8.2,O,,,,,,,,,,,
B860,0,A,8.6,O,,,,,,,,,,,
B900,0,A,9.0,O,,,,,,,,,,,
B960,0,A,9.6,O,,,,,,,,,,,
B105,0,A,10.5,O,,,,,,,,,,,
B120,0,A,12.0,O,,,,,,,,,,,
