TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
X537,0,E,5.37,O,,,,,,,,,,,
X597,0,E,5.97,O,,,,,,,,,,,
X657,0,E,6.57,O,,,,,,,,,,,
X717,0,E,7.17,O,,,,,,,,,,,
X777,0,E,7.77,I,0.41,0.3667,09/12/2022,2,401.0,0.44531,-0.2082,0.413,-0.0101,-0.0246,0.4471
X807,0,E,8.07,I,0.58,2.0526,08/12/2022,5,5746.0,0.48812,-0.2017,0.3175,-0.0103,-0.0178,0.5108
X837,0,E,8.37,I,0.25,0.3889,05/12/2022,1,50.0,0.45625,-0.2152,0.3145,-0.0093,-0.0373,0.5957
X867,0,E,8.67,I,0.93,1.325,08/12/2022,2,188.0,0.51625,-0.3356,0.3216,-0.012,-0.0129,0.8005
X897,0,E,8.97,I,0.57,0.7813,30/11/2022,1,342.0,0.50031,-0.5307,0.385,-0.0119,-0.0208,0.8213
X927,0,E,9.27,I,0.7,0.3208,28/11/2022,2,130.0,0.46906,-0.666,0.3775,-0.009,-0.0128,0.7479
X957,0,E,9.57,I,0.78,,18/11/2022,3,1195.0,0.57687,-0.6299,0.2991,-0.0124,-0.0158,0.8264
X987,0,E,9.87,I,0.74,,25/11/2022,1,222.0,,,,,,
X103,0,E,10.37,I,,,,,,,,,,,
X108,0,E,10.87,I,,,,,,,,,,,
X113,0,E,11.37,I,,,,,,,,,,,
X120,0,E,11.87,I,4.17,-0.0523,09/12/2022,3,25870.0,0.38625,-0.4434,0.2693,-0.008,-0.0019,1.4994
X133,0,E,13.37,I,3.8,-0.0404,21/11/2022,1,380.0,,,,,,
X163,0,E,16.37,I,6.74,-0.0892,21/11/2022,2,5392.0,,,,,,
