TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B104,0,A,10.44,I,,,,,,,,,,,
B114,0,A,11.44,I,,,,,,,,,,,
B124,0,A,12.44,I,,,,,,,,,,,
B135,0,A,13.44,I,,,,,,,,,,,
B140,0,A,13.94,I,2.44,1.016,25/01/2023,1,244.0,0.428,0.7165,0.1706,-0.0185,-0.0076,1.5702
B145,0,A,14.44,I,0.9,-0.541,06/02/2023,1,270.0,0.371,0.8737,0.131,-0.0158,-0.0175,0.8832
B150,1,A,14.94,A,0.44,-0.2,07/02/2023,1,44.0,0.46,0.5375,0.3247,-0.0345,-0.0783,1.0572
B155,1,A,15.44,O,0.3,-0.746,07/02/2023,1,5010.0,0.441,0.3731,0.3222,-0.0307,-0.1023,1.0077
B160,1,A,15.94,O,0.18,-0.5,07/02/2023,2,110.0,0.434,0.2369,0.2665,-0.0242,-0.1344,0.8232
B165,1,A,16.44,O,0.15,-0.5,06/02/2023,2,230.0,0.429,0.1911,0.221,-0.0202,-0.1344,0.7818
B170,1,A,16.94,O,0.36,-0.1,26/01/2023,2,208.0,0.362,0.3152,0.2899,-0.0225,-0.0624,1.202
B175,0,A,17.44,O,0.21,0.105,02/02/2023,1,21.0,0.357,0.1875,0.2229,-0.0164,-0.0779,0.9099
B180,0,A,17.94,O,0.1,,26/01/2023,1,50.0,0.354,0.1498,0.1837,-0.0136,-0.136,0.8337
B185,0,A,18.44,O,,,,,,,,,,,
B190,0,A,18.94,O,,,,,,,,,,,
B195,0,A,19.44,O,0.06,,25/01/2023,1,30.0,,,,,,
B200,0,A,19.94,O,,,,,,,,,,,
B205,0,A,20.44,O,,,,,,,,,,,
B210,0,A,20.94,O,0.06,,16/01/2023,3,114.0,,,,,,
B215,0,A,21.44,O,,,,,,,,,,,
B220,0,A,21.94,O,,,,,,,,,,,
B225,0,A,22.44,O,,,,,,,,,,,
B230,0,A,22.94,O,,,,,,,,,,,
B235,0,A,23.44,O,,,,,,,,,,,
B240,0,A,23.94,O,,,,,,,,,,,
