TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
N134,0,E,13.41,O,,,,,,,,,,,
N146,0,E,14.66,O,,,,,,,,,,,
N156,0,E,15.66,O,,,,,,,,,,,
N161,0,E,16.16,O,,,,,,,,,,,
N166,0,E,16.66,O,,,,,,,,,,,
N171,0,E,17.16,O,,,,,,,,,,,
N176,0,E,17.66,O,,,,,,,,,,,
N181,0,E,18.16,O,,,,,,,,,,,
N186,0,E,18.66,O,,,,,,,,,,,
N191,0,E,19.16,O,,,,,,,,,,,
N196,0,E,19.66,O,0.39,,09/01/2023,1,78.0,,,,,,
N201,0,E,20.16,O,0.41,-0.1458,06/01/2023,1,205.0,,,,,,
N210,0,E,20.66,O,,,,,,,,,,,
N211,0,E,21.16,O,0.25,-0.1667,25/01/2023,1,25.0,,,,,,
N220,0,E,21.66,O,0.32,-0.1579,23/01/2023,1,32.0,0.47516,-0.2677,0.0991,-0.0201,-0.0627,2.3018
N225,0,E,22.16,O,0.09,-0.625,31/01/2023,1,27.0,0.48273,-0.4415,0.1198,-0.0211,-0.2345,2.6928
N230,0,E,22.66,O,0.6,-0.5775,24/01/2023,1,840.0,0.47902,-0.4166,0.1181,-0.0222,-0.0371,2.6911
N235,0,E,23.16,O,0.25,-0.3902,02/02/2023,1,75.0,0.44305,-0.4152,0.1306,-0.0219,-0.0876,2.6271
N240,0,E,23.66,O,0.16,-0.6863,03/02/2023,1,16.0,0.39219,-0.2988,0.1428,-0.0221,-0.138,2.1504
N245,0,E,24.16,O,0.7,-0.125,30/01/2023,1,560.0,0.39477,-0.4624,0.1713,-0.0241,-0.0345,2.3324
N250,0,E,24.66,O,0.4,-0.5789,01/02/2023,1,800.0,0.41,-0.5192,0.1645,-0.0247,-0.0618,2.3546
N255,1,E,25.16,O,0.58,-0.6686,03/02/2023,1,232.0,0.41977,-0.5967,0.1562,-0.0233,-0.0402,2.2869
N260,1,E,25.66,O,0.75,-0.7768,01/02/2023,1,225.0,0.43414,-0.5569,0.1602,-0.0292,-0.0389,2.2422
N265,1,E,26.16,A,,,,,,0.44469,-0.4584,0.1913,-0.0445,,1.8508
N270,1,E,26.66,A,3.1,-0.052,24/01/2023,1,4340.0,0.44297,-0.687,0.1587,-0.0292,-0.0094,1.7854
N271,0,E,27.16,I,,,,,,,,,,,
N280,0,E,27.66,I,,,,,,,,,,,
N281,0,E,28.16,I,,,,,,,,,,,
N286,0,E,28.66,I,,,,,,,,,,,
N295,0,E,29.16,I,,,,,,,,,,,
N296,0,E,29.66,I,,,,,,,,,,,
N305,0,E,30.16,I,,,,,,,,,,,
N306,0,E,30.66,I,,,,,,,,,,,
N315,0,E,31.16,I,,,,,,,,,,,
N316,0,E,31.66,I,,,,,,,,,,,
N325,0,E,32.16,I,,,,,,,,,,,
N335,0,E,33.16,I,,,,,,,,,,,
N345,0,E,34.16,I,,,,,,,,,,,
N355,0,E,35.16,I,,,,,,,,,,,
