TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
T120,0,E,1.2,O,,,,,,0.78125,-0.1157,0.4184,-0.0012,,0.1162
T130,0,E,1.3,O,,,,,,0.7525,-0.1034,0.4871,-0.0014,,0.0882
T140,0,E,1.4,O,,,,,,0.67125,-0.1365,0.8145,-0.0018,,0.0875
T149,0,E,1.5,O,0.02,0.0,04/08/2022,1,24.0,0.7575,-0.0984,0.5766,-0.0021,-0.105,0.0689
T160,0,E,1.6,O,0.07,-0.125,29/07/2022,1,14000.0,0.63,-0.1465,0.9171,-0.0022,-0.0314,0.0911
T170,0,E,1.7,O,0.01,,04/08/2022,1,5.0,0.6675,-0.1364,0.8041,-0.0025,-0.25,0.0891
T180,0,E,1.8,O,,,,,,0.5875,-0.2624,1.3828,-0.0032,,0.1307
T190,0,E,1.9,A,,,,,,,,,,,
T199,0,E,2.0,I,,,,,,,,,,,
T210,0,E,2.1,I,,,,,,,,,,,
T220,0,E,2.2,I,0.6,,13/07/2022,1,600.0,,,,,,
