TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
T120,0,E,1.2,O,,,,,,0.78125,-0.1157,0.4184,-0.0012,,0.1162
T130,0,E,1.3,O,,,,,,0.7525,-0.1034,0.4871,-0.0014,,0.0882
T140,0,E,1.4,O,,,,,,0.67125,-0.1365,0.8145,-0.0018,,0.0875
T149,0,E,1.5,O,0.05,0.25,26/07/2022,2,10000.0,0.64,-0.1701,0.987,-0.0022,-0.044,0.1014
T160,0,E,1.6,O,0.07,-0.125,29/07/2022,1,14000.0,0.54625,-0.2768,1.5293,-0.0023,-0.0329,0.1341
T170,0,E,1.7,A,,,,,,0.53125,-0.6637,1.6368,-0.0016,,0.1531
T180,0,E,1.8,I,,,,,,0.5775,-0.6095,1.4042,-0.002,,0.1817
T190,0,E,1.9,I,,,,,,,,,,,
T199,0,E,2.0,I,,,,,,,,,,,
T210,0,E,2.1,I,,,,,,,,,,,
T220,0,E,2.2,I,0.6,,13/07/2022,1,600.0,,,,,,
