TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
B134,0,E,13.41,I,,,,,,,,,,,
B146,0,A,14.66,I,,,,,,,,,,,
B156,0,A,15.66,I,,,,,,,,,,,
B161,0,A,16.16,I,,,,,,,,,,,
B166,0,A,16.66,I,,,,,,,,,,,
B171,0,A,17.16,I,,,,,,,,,,,
B176,0,A,17.66,I,,,,,,,,,,,
B181,0,A,18.16,I,,,,,,,,,,,
B186,0,A,18.66,I,,,,,,,,,,,
B191,0,A,19.16,I,,,,,,,,,,,
B196,0,A,19.66,I,,,,,,,,,,,
B201,0,A,20.16,I,,,,,,,,,,,
B210,0,A,20.66,I,,,,,,,,,,,
B211,0,A,21.16,I,,,,,,,,,,,
B220,0,A,21.66,I,1.34,,10/01/2023,1,1876.0,0.498,0.7493,0.0831,-0.0307,-0.0229,2.4478
B225,0,A,22.16,I,3.05,0.35,31/01/2023,1,305.0,0.41,0.6964,0.1218,-0.0296,-0.0097,2.4443
B230,0,A,22.66,I,2.15,0.433,27/01/2023,1,2150.0,0.381,0.7189,0.1398,-0.031,-0.0144,2.1344
B235,0,A,23.16,I,1.5,-0.246,27/01/2023,1,300.0,0.42,0.6016,0.1356,-0.0331,-0.0221,2.6125
B240,0,A,23.66,I,1.25,-0.238,27/01/2023,1,2500.0,0.381,0.7452,0.1303,-0.0324,-0.0259,2.076
B245,1,A,24.16,I,1.36,0.511,31/01/2023,1,680.0,0.351,0.7062,0.173,-0.0352,-0.0259,1.953
B250,1,A,24.66,A,1.07,0.202,31/01/2023,1,535.0,0.352,0.6141,0.1916,-0.0372,-0.0347,2.1702
B255,1,A,25.16,A,0.89,0.369,31/01/2023,3,3180.0,0.4,0.4148,0.1642,-0.036,-0.0404,2.3129
B260,1,A,25.66,O,0.5,-0.167,20/01/2023,1,350.0,0.443,0.6289,0.0873,-0.0311,-0.0623,3.693
B265,0,A,26.16,O,0.5,0.471,31/01/2023,3,2620.0,0.403,0.2568,0.1398,-0.0298,-0.0595,1.8452
B270,0,A,26.66,O,0.46,-0.292,25/01/2023,2,1130.0,0.401,0.2074,0.1138,-0.0237,-0.0516,1.7928
B271,0,A,27.16,O,0.19,0.357,31/01/2023,2,416.0,0.459,0.3995,0.091,-0.029,-0.1527,3.5722
B280,0,A,27.66,O,,,,,,,,,,,
B281,0,A,28.16,O,,,,,,,,,,,
B286,0,A,28.66,O,,,,,,,,,,,
B295,0,A,29.16,O,0.85,,29/12/2022,1,425.0,,,,,,
B296,0,A,29.66,O,,,,,,,,,,,
B305,0,A,30.16,O,0.56,,28/12/2022,1,3584.0,,,,,,
B306,0,A,30.66,O,,,,,,,,,,,
B315,0,A,31.16,O,,,,,,,,,,,
B316,0,A,31.66,O,,,,,,,,,,,
B325,0,A,32.16,O,,,,,,,,,,,
B335,0,A,33.16,O,,,,,,,,,,,
B345,0,A,34.16,O,,,,,,,,,,,
B355,0,A,35.16,O,,,,,,,,,,,
