TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M310,0,E,3.1,O,,,,,,,,,,,
M350,0,E,3.5,O,,,,,,,,,,,
M390,0,E,3.9,O,0.08,0.0,13/12/2022,1,80.0,0.55375,-0.1505,0.2827,-0.0032,-0.0395,0.3487
M400,0,E,4.0,O,0.15,-0.1176,15/12/2022,5,111049.0,,,,,,
M430,1,E,4.3,O,0.18,0.125,16/12/2022,4,7575.0,0.60094,-0.3073,0.4138,-0.0054,-0.0297,0.4967
M43,0,E,4.35,O,,,,,,,,,,,
M440,1,E,4.45,O,0.22,-0.2143,15/12/2022,1,220.0,0.59219,-0.3788,0.4555,-0.0055,-0.0252,0.5365
M450,1,E,4.55,A,0.26,,15/12/2022,1,260.0,0.58125,-0.4306,0.4803,-0.0055,-0.021,0.5529
M460,1,E,4.65,A,0.31,-0.0313,16/12/2022,4,96620.0,0.56906,-0.4796,0.4975,-0.0053,-0.017,0.5607
M470,0,E,4.7,I,0.37,-0.0513,16/12/2022,1,37.0,0.52437,-0.4016,0.4567,-0.0045,-0.012,0.6245
M475,0,E,4.75,I,0.4,-0.0244,15/12/2022,4,361880.0,0.54812,-0.5433,0.4813,-0.0043,-0.0107,0.5962
M485,0,E,4.85,I,0.45,0.0,16/12/2022,1,450.0,0.54781,-0.5741,0.4729,-0.0041,-0.0092,0.5933
M495,0,E,4.95,I,0.49,0.0426,16/12/2022,3,6543.0,0.53594,-0.6261,0.4681,-0.0036,-0.0074,0.5721
M510,0,E,5.1,I,0.62,0.0333,16/12/2022,1,62.0,0.59656,-0.4264,0.3675,-0.0054,-0.0086,0.7014
M530,0,E,5.3,I,0.9,0.2857,14/12/2022,1,5400.0,0.53094,-0.5589,0.4317,-0.0042,-0.0047,0.6794
M550,0,E,5.5,I,0.98,0.0426,16/12/2022,1,98.0,0.65125,-0.5509,0.3171,-0.005,-0.0051,0.7583
M570,0,E,5.7,I,1.1,0.0,14/12/2022,1,550.0,0.6975,-0.5646,0.2822,-0.0052,-0.0047,0.7873
M590,0,E,5.9,I,1.3,0.0569,16/12/2022,1,260.0,,,,,,
M600,0,E,6.0,I,,,,,,,,,,,
M610,0,E,6.1,I,1.45,0.9863,13/12/2022,6,4213.0,,,,,,
M630,0,E,6.3,I,1.92,2.0968,14/12/2022,1,960.0,,,,,,
M650,0,E,6.5,I,0.72,0.1077,14/11/2022,1,1080.0,0.70687,-0.5909,0.2277,-0.0048,-0.0066,0.9379
M670,0,E,6.7,I,1.3,0.8571,17/11/2022,1,1950.0,,,,,,
M690,0,E,6.9,I,2.2,0.3095,15/12/2022,1,440.0,,,,,,
M700,0,E,7.0,I,2.26,-0.0924,15/12/2022,1,67800.0,,,,,,
M710,0,E,7.1,I,,,,,,,,,,,
M730,0,E,7.3,I,,,,,,,,,,,
M750,0,E,7.5,I,,,,,,,,,,,
M770,0,E,7.7,I,,,,,,,,,,,
M790,0,E,7.9,I,,,,,,,,,,,
M810,0,E,8.1,I,,,,,,,,,,,
M820,0,E,8.2,I,0.76,,07/11/2022,1,30400.0,,,,,,
M830,0,E,8.3,I,0.87,,04/11/2022,1,11745.0,,,,,,
M850,0,E,8.5,I,,,,,,,,,,,
M870,0,E,8.7,I,,,,,,,,,,,
M890,0,E,8.9,I,,,,,,,,,,,
M910,0,E,9.1,I,,,,,,,,,,,
M930,0,E,9.3,I,4.52,-0.0504,15/12/2022,1,13560.0,,,,,,
M950,0,E,9.5,I,,,,,,,,,,,
M970,0,E,9.7,I,,,,,,,,,,,
M990,0,E,9.9,I,,,,,,,,,,,
M100,0,E,10.0,I,,,,,,,,,,,
M102,0,E,10.25,I,,,,,,,,,,,
M107,0,E,10.75,I,,,,,,,,,,,
M112,0,E,11.25,I,,,,,,,,,,,
M117,0,E,11.75,I,,,,,,,,,,,
M120,0,E,12.0,I,,,,,,,,,,,
M122,0,E,12.25,I,,,,,,,,,,,
M127,0,E,12.75,I,6.19,,11/11/2022,1,48901.0,,,,,,
M132,0,E,13.25,I,,,,,,,,,,,
M137,0,E,13.75,I,7.65,0.2047,18/11/2022,3,296373.0,,,,,,
